Condition	BioReplicate	Run	
CNT	Twin pair-04-A	yanliu_L130124_009_SW.mzML	
CNT	Twin pair-04-A	yanliu_L130319_004_SW.mzML	
CNT	Twin pair-04-B	yanliu_L130124_010_SW.mzML	
CNT	Twin pair-04-B	yanliu_L130319_007_SW.mzML	
CNT	Twin pair-05-A	yanliu_L130211_001_SW.mzML	
CNT	Twin pair-05-A	yanliu_L130109_036_SW.mzML	
CNT	Twin pair-05-B	yanliu_L130211_002_SW.mzML	
CNT	Twin pair-05-B	yanliu_L130109_037_SW.mzML	
CNT	Twin pair-06-A	yanliu_L130109_026_SW.mzML	
CNT	Twin pair-06-A	yanliu_L130313_035_SW.mzML	
CNT	Twin pair-06-B	yanliu_L130211_013_SW.mzML	
CNT	Twin pair-06-B	yanliu_L130313_036_SW.mzML	
CNT	Twin pair-02-A	yanliu_L130313_018_SW.mzML	
CNT	Twin pair-02-A	yanliu_L130124_020_SW.mzML	
CNT	Twin pair-02-B	yanliu_L130313_021_SW.mzML	
CNT	Twin pair-02-B	yanliu_L130308_022_SW.mzML	
CNT	Twin pair-03-A	yanliu_L130116_015_SW.mzML	
CNT	Twin pair-03-A	yanliu_L130116_012_SW.mzML	
CNT	Twin pair-03-B	yanliu_L130116_018_SW.mzML	
CNT	Twin pair-03-B	yanliu_L130116_013_SW.mzML	
CNT	Twin pair-07-A	yanliu_L130308_018_SW.mzML	
CNT	Twin pair-07-A	yanliu_L130109_018_SW.mzML	
CNT	Twin pair-07-B	yanliu_L130308_019_SW.mzML	
CNT	Twin pair-07-B	yanliu_L130109_019_SW.mzML	
CNT	Twin pair-08-A	yanliu_L130313_001_SW.mzML	
CNT	Twin pair-08-A	yanliu_L130313_031_SW.mzML	
CNT	Twin pair-08-B	yanliu_L130313_002_SW.mzML	
CNT	Twin pair-08-B	yanliu_L130313_032_SW.mzML	
CNT	Twin pair-09-A	yanliu_L130313_009_SW.mzML	
CNT	Twin pair-09-A	yanliu_L130313_011_SW.mzML	
CNT	Twin pair-09-B	yanliu_L130313_010_SW.mzML	
CNT	Twin pair-09-B	yanliu_L130313_012_SW.mzML	
CNT	Twin pair-10-A	yanliu_L130220_007_SW.mzML	
CNT	Twin pair-10-A	yanliu_L130220_002_SW.mzML	
CNT	Twin pair-10-B	yanliu_L130220_008_SW.mzML	
CNT	Twin pair-10-B	yanliu_L130220_010_SW.mzML	
CNT	Twin pair-11-A	yanliu_L130503_001_SW.mzML	
CNT	Twin pair-11-A	yanliu_L130313_024_SW.mzML	
CNT	Twin pair-11-B	yanliu_L130124_007_SW.mzML	
CNT	Twin pair-11-B	yanliu_L130109_024_SW.mzML	
CNT	Twin pair-12-A	yanliu_L130211_009_SW.mzML	
CNT	Twin pair-12-A	yanliu_L130109_020_SW.mzML	
CNT	Twin pair-12-B	yanliu_L130211_010_SW.mzML	
CNT	Twin pair-12-B	yanliu_L130109_021_SW.mzML	
CNT	Twin pair-13-A	yanliu_L130220_004_SW.mzML	
CNT	Twin pair-13-A	yanliu_L130211_003_SW.mzML	
CNT	Twin pair-13-B	yanliu_L130116_005_SW.mzML	
CNT	Twin pair-13-B	yanliu_L130211_004_SW.mzML	
CNT	Twin pair-14-A	yanliu_L130109_035_SW.mzML	
CNT	Twin pair-14-A	yanliu_L130124_016_SW.mzML	
CNT	Twin pair-14-B	yanliu_L130211_021_SW.mzML	
CNT	Twin pair-14-B	yanliu_L130124_017_SW.mzML	
CNT	Twin pair-15-A	yanliu_L130308_025_SW.mzML	
CNT	Twin pair-15-A	yanliu_L130308_027_SW.mzML	
CNT	Twin pair-15-B	yanliu_L130308_028_SW.mzML	
CNT	Twin pair-15-B	yanliu_L130308_030_SW.mzML	
CNT	Twin pair-15-B	yanliu_L130308_032_SW.mzML	
CNT	Twin pair-16-A	yanliu_L130319_014_SW.mzML	
CNT	Twin pair-16-A	yanliu_L130109_010_SW.mzML	
CNT	Twin pair-16-B	yanliu_L130104_011_SW.mzML	
CNT	Twin pair-16-B	yanliu_L130109_011_SW.mzML	
CNT	Twin pair-17-A	yanliu_L130308_004_SW.mzML	
CNT	Twin pair-17-A	yanliu_L130124_001_SW.mzML	
CNT	Twin pair-17-B	yanliu_L130308_005_SW.mzML	
CNT	Twin pair-17-B	yanliu_L130220_013_SW.mzML	
CNT	Twin pair-18-A	yanliu_L130104_018_SW.mzML	
CNT	Twin pair-18-A	yanliu_L130319_008_SW.mzML	
CNT	Twin pair-18-B	yanliu_L130124_005_SW.mzML	
CNT	Twin pair-18-B	yanliu_L130319_011_SW.mzML	
CNT	Twin pair-19-A	yanliu_L130109_023_SW.mzML	
CNT	Twin pair-19-A	yanliu_L130313_007_SW.mzML	
CNT	Twin pair-19-B	yanliu_L130109_032_SW.mzML	
CNT	Twin pair-19-B	yanliu_L130313_008_SW.mzML	
CNT	Twin pair-20-A	yanliu_L130308_021_SW.mzML	
CNT	Twin pair-20-A	yanliu_L130313_027_SW.mzML	
CNT	Twin pair-20-B	yanliu_L130308_024_SW.mzML	
CNT	Twin pair-20-B	yanliu_L130313_028_SW.mzML	
CNT	Twin pair-21-A	yanliu_L130104_031_SW.mzML	
CNT	Twin pair-21-A	yanliu_L130308_023_SW.mzML	
CNT	Twin pair-21-B	yanliu_L130124_018_SW.mzML	
CNT	Twin pair-21-B	yanliu_L130308_026_SW.mzML	
CNT	Twin pair-22-A	yanliu_L130104_017_SW.mzML	
CNT	Twin pair-22-A	yanliu_L130104_009_SW.mzML	
CNT	Twin pair-22-B	yanliu_L130116_014_SW.mzML	
CNT	Twin pair-22-B	yanliu_L130104_010_SW.mzML	
CNT	Twin pair-23-A	yanliu_L130313_034_SW.mzML	
CNT	Twin pair-23-A	yanliu_L130109_025_SW.mzML	
CNT	Twin pair-23-B	yanliu_L130109_031_SW.mzML	
CNT	Twin pair-23-B	yanliu_L130211_011_SW.mzML	
CNT	Twin pair-24-A	yanliu_L130313_030_SW.mzML	
CNT	Twin pair-24-A	yanliu_L130109_009_SW.mzML	
CNT	Twin pair-24-B	yanliu_L130313_033_SW.mzML	
CNT	Twin pair-24-B	yanliu_L130124_028_SW.mzML	
CNT	Twin pair-25-A	yanliu_L130116_016_SW.mzML	
CNT	Twin pair-25-A	yanliu_L130220_001_SW.mzML	
CNT	Twin pair-25-B	yanliu_L130116_017_SW.mzML	
CNT	Twin pair-25-B	yanliu_L130319_003_SW.mzML	
CNT	Twin pair-26-A	yanliu_L130104_023_SW.mzML	
CNT	Twin pair-26-A	yanliu_L130211_019_SW.mzML	
CNT	Twin pair-26-B	yanliu_L130124_011_SW.mzML	
CNT	Twin pair-26-B	yanliu_L130211_020_SW.mzML	
CNT	Twin pair-27-A	yanliu_L130116_020_SW.mzML	
CNT	Twin pair-27-A	yanliu_L130124_021_SW.mzML	
CNT	Twin pair-27-B	yanliu_L130116_021_SW.mzML	
CNT	Twin pair-27-B	yanliu_L130124_029_SW.mzML	
CNT	Twin pair-28-A	yanliu_L130220_015_SW.mzML	
CNT	Twin pair-28-A	yanliu_L130319_015_SW.mzML	
CNT	Twin pair-28-B	yanliu_L130308_001_SW.mzML	
CNT	Twin pair-28-B	yanliu_L130116_025_SW.mzML	
CNT	Twin pair-29-A	yanliu_L130104_027_SW.mzML	
CNT	Twin pair-29-A	yanliu_L130109_028_SW.mzML	
CNT	Twin pair-29-B	yanliu_L130104_028_SW.mzML	
CNT	Twin pair-29-B	yanliu_L130211_015_SW.mzML	
CNT	Twin pair-30-A	yanliu_L130124_006_SW.mzML	
CNT	Twin pair-30-A	yanliu_L130124_008_SW.mzML	
CNT	Twin pair-30-B	yanliu_L130104_021_SW.mzML	
CNT	Twin pair-30-B	yanliu_L130104_022_SW.mzML	
CNT	Twin pair-31-A	yanliu_L130104_008_SW.mzML	
CNT	Twin pair-31-A	yanliu_L130104_012_SW.mzML	
CNT	Twin pair-31-B	yanliu_L130319_013_SW.mzML	
CNT	Twin pair-31-B	yanliu_L130104_013_SW.mzML	
CNT	Twin pair-32-A	yanliu_L130319_002_SW.mzML	
