Run	Condition	BioReplicate				
guot_L130612_005_SW.mzML	BR	1				
guot_L130613_003_SW.mzML	BR	2				
guot_L130615_006_SW.mzML	BR	3				
guot_L130616_003_SW.mzML	BR	4				
guot_L130618_003_SW.mzML	BR	5				
guot_L130722_001_SW.mzML	BR	6				
guot_L130624_005_SW.mzML	BR	7				
guot_L130625_003_SW.mzML	BR	8				
guot_L130627_006_SW.mzML	BR	9				
guot_L130628_003_SW.mzML	BR	10				
guot_L130630_003_SW.mzML	BR	11				
guot_L130722_002_SW.mzML	BR	12				
guot_L130611_012_SW.mzML	CNS	1				
guot_L130613_004_SW.mzML	CNS	2				
guot_L130614_005_SW.mzML	CNS	3				
guot_L130617_006_SW.mzML	CNS	4				
guot_L130618_006_SW.mzML	CNS	5				
guot_L130719_002_SW.mzML	CNS	6				
guot_L130623_004_SW.mzML	CNS	7				
guot_L130625_004_SW.mzML	CNS	8				
guot_L130626_005_SW.mzML	CNS	9				
guot_L130629_006_SW.mzML	CNS	10				
guot_L130630_006_SW.mzML	CNS	11				
guot_L130719_003_SW.mzML	CNS	12				
guot_L130610_005_SW.mzML	CO	1				
guot_L130611_011_SW.mzML	CO	2				
guot_L130612_003_SW.mzML	CO	3				
guot_L130613_006_SW.mzML	CO	4				
guot_L130617_003_SW.mzML	CO	5				
guot_L130618_002_SW.mzML	CO	6				
guot_L130619_002_SW.mzML	CO	7				
guot_L130622_004_SW.mzML	CO	8				
guot_L130623_003_SW.mzML	CO	9				
guot_L130624_003_SW.mzML	CO	10				
guot_L130625_006_SW.mzML	CO	11				
guot_L130629_003_SW.mzML	CO	12				
guot_L130630_002_SW.mzML	CO	13				
guot_L130701_002_SW.mzML	CO	14				
guot_L130610_004_SW.mzML	LC	1				
guot_L130614_003_SW.mzML	LC	2				
guot_L130616_002_SW.mzML	LC	3				
guot_L130616_004_SW.mzML	LC	4				
guot_L130617_005_SW.mzML	LC	5				
guot_L130618_004_SW.mzML	LC	6				
guot_L130619_005_SW.mzML	LC	7				
guot_L130620_002_SW.mzML	LC	8				
guot_L130621_002_SW.mzML	LC	9				
guot_L130622_003_SW.mzML	LC	10				
guot_L130626_003_SW.mzML	LC	11				
guot_L130628_002_SW.mzML	LC	12				
guot_L130628_004_SW.mzML	LC	13				
guot_L130629_005_SW.mzML	LC	14				
guot_L130630_004_SW.mzML	LC	15				
guot_L130701_005_SW.mzML	LC	16				
guot_L130702_002_SW.mzML	LC	17				
guot_L130703_002_SW.mzML	LC	18				
guot_L130610_003_SW.mzML	LE	1				
guot_L130612_004_SW.mzML	LE	2				
guot_L130613_002_SW.mzML	LE	3				
guot_L130615_005_SW.mzML	LE	4				
guot_L130617_004_SW.mzML	LE	5				
guot_L130620_006_SW.mzML	LE	6				
guot_L130622_002_SW.mzML	LE	7				
guot_L130624_004_SW.mzML	LE	8				
guot_L130625_002_SW.mzML	LE	9				
guot_L130627_005_SW.mzML	LE	10				
guot_L130629_004_SW.mzML	LE	11				
guot_L130702_006_SW.mzML	LE	12				
guot_L130611_013_SW.mzML	ME	1				
guot_L130612_006_SW.mzML	ME	2				
guot_L130613_005_SW.mzML	ME	3				
guot_L130614_006_SW.mzML	ME	4				
guot_L130615_003_SW.mzML	ME	5				
guot_L130616_006_SW.mzML	ME	6				
guot_L130619_003_SW.mzML	ME	7				
guot_L130722_003_SW.mzML	ME	8				
guot_L130621_003_SW.mzML	ME	9				
guot_L130623_005_SW.mzML	ME	10				
guot_L130624_006_SW.mzML	ME	11				
guot_L130625_005_SW.mzML	ME	12				
guot_L130626_006_SW.mzML	ME	13				
guot_L130627_003_SW.mzML	ME	14				
guot_L130628_006_SW.mzML	ME	15				
guot_L130701_003_SW.mzML	ME	16				
guot_L130722_004_SW.mzML	ME	17				
guot_L130703_003b_SW.mzML	ME	18				
guot_L130610_006_SW.mzML	OV	1				
guot_L130611_014_SW.mzML	OV	2				
guot_L130614_004_SW.mzML	OV	3				
guot_L130615_004_SW.mzML	OV	4				
guot_L130618_005_SW.mzML	OV	5				
guot_L130619_004_SW.mzML	OV	6				
guot_L130620_005_SW.mzML	OV	7				
guot_L130622_005_SW.mzML	OV	8				
guot_L130623_006_SW.mzML	OV	9				
guot_L130626_004_SW.mzML	OV	10				
guot_L130627_004_SW.mzML	OV	11				
guot_L130630_005_SW.mzML	OV	12				
guot_L130701_004_SW.mzML	OV	13				
guot_L130702_005_SW.mzML	OV	14				
guot_L130617_002_SW.mzML	PR	1				
guot_L130621_004_SW.mzML	PR	2				
guot_L130629_002_SW.mzML	PR	3				
guot_L130703_004_SW.mzML	PR	4				
guot_L130611_007_SW.mzML	RE	1				
guot_L130611_010_SW.mzML	RE	2				
guot_L130612_002_SW.mzML	RE	3				
guot_L130614_002_SW.mzML	RE	4				
guot_L130615_002_SW.mzML	RE	5				
guot_L130616_005_SW.mzML	RE	6				
guot_L130619_006_SW.mzML	RE	7				
guot_L130621_005_SW.mzML	RE	8				
guot_L130622_006_SW.mzML	RE	9				
guot_L130623_002_SW.mzML	RE	10				
guot_L130624_002_SW.mzML	RE	11				
guot_L130626_002_SW.mzML	RE	12				
guot_L130627_002_SW.mzML	RE	13				
guot_L130628_005_SW.mzML	RE	14				
guot_L130701_006_SW.mzML	RE	15				
guot_L130703_005_SW.mzML	RE	16				
