Run	Condition	BioReplicate	technical_replicate	sample_name	
pcf1.mzML	normal adjacent_fresh frozen	1	a	FN1a	
pcf2.mzML	normal adjacent_fresh frozen	2	b	FN1b	
pcf3.mzML	normal adjacent_fresh frozen	3	a	FN2a	
pcf4.mzML	normal adjacent_fresh frozen	4	b	FN2b	
pcf5.mzML	normal adjacent_fresh frozen	5	c	FN2c	
pcf6.mzML	normal adjacent_fresh frozen	6	d	FN2d	
pcf7.mzML	normal adjacent_fresh frozen	7	e	FN2e	
pcf8.mzML	normal adjacent_fresh frozen	8	a	FN3a	
pcf9.mzML	normal adjacent_fresh frozen	9	b	FN3b	
pcf10.mzML	normal adjacent_fresh frozen	10	a	FN4a	
pcf11.mzML	normal adjacent_fresh frozen	11	b	FN4b	
pcf12.mzML	normal adjacent_fresh frozen	12	a	FN5a	
pcf13.mzML	normal adjacent_fresh frozen	13	b	FN5b	
pcf14.mzML	normal adjacent_fresh frozen	14	a	FN6a	
pcf15.mzML	normal adjacent_fresh frozen	15	b	FN6b	
pcf16.mzML	normal adjacent_fresh frozen	16	a	FN7a	
pcf17.mzML	normal adjacent_fresh frozen	17	b	FN7b	
pcf18.mzML	normal adjacent_fresh frozen	18	c	FN7c	
pcf19.mzML	normal adjacent_fresh frozen	19	d	FN7d	
pcf20.mzML	normal adjacent_fresh frozen	20	a	FN8a	
pcf21.mzML	normal adjacent_fresh frozen	21	b	FN8b	
pcf22.mzML	normal adjacent_fresh frozen	22	a	FN9a	
pcf23.mzML	normal adjacent_fresh frozen	23	b	FN9b	
pcf24.mzML	normal adjacent_fresh frozen	24	a	FN10a	
pcf25.mzML	normal adjacent_fresh frozen	25	b	FN10b	
pcf26.mzML	normal adjacent_fresh frozen	26	a	FN11a	
pcf27.mzML	normal adjacent_fresh frozen	27	b	FN11b	
pcf28.mzML	normal adjacent_fresh frozen	28	a	FN12a	
pcf29.mzML	normal adjacent_fresh frozen	29	b	FN12b	
pcf30.mzML	normal adjacent_fresh frozen	30	a	FN13a	
pcf31.mzML	normal adjacent_fresh frozen	31	b	FN13b	
pcf32.mzML	normal adjacent_fresh frozen	32	a	FN14a	
pcf33.mzML	normal adjacent_fresh frozen	33	b	FN14b	
pcf34.mzML	normal adjacent_fresh frozen	34	a	FN15a	
pcf35.mzML	normal adjacent_fresh frozen	35	b	FN15b	
