Run	BioReplicate	Condition	technical_replicate	sample_name
guot_L160307_sw_liver1.mzML	1	N	a	P1Na
guot_L160307_sw_liver2.mzML	2	N	a	P2Na
guot_L160307_sw_liver3.mzML	3	N	a	P3Na
guot_L160307_sw_liver4.mzML	4	N	a	P4Na
guot_L160307_sw_liver5.mzML	5	N	a	P5Na
guot_L160307_sw_liver6.mzML	6	N	a	P6Na
guot_L160307_sw_liver7.mzML	7	N	a	P7Na
guot_L160307_sw_liver8.mzML	8	N	a	P8Na
guot_L160307_sw_liver9.mzML	9	N	a	P9Na
guot_L160307_sw_liver10.mzML	10	N	a	P10Na
guot_L160307_sw_liver11.mzML	11	N	a	P11Na
guot_L160307_sw_liver12.mzML	1	T	a	P1Ta
guot_L160307_sw_liver13.mzML	2	T	a	P2Ta
guot_L160307_sw_liver14.mzML	3	T	a	P3Ta
guot_L160307_sw_liver15.mzML	4	T	a	P4Ta
guot_L160307_sw_liver16.mzML	5	T	a	P5Ta
guot_L160307_sw_liver17.mzML	6	T	a	P6Ta
guot_L160307_sw_liver18.mzML	7	T	a	P7Ta
guot_L160307_sw_liver19.mzML	8	T	a	P8Ta
guot_L160307_sw_liver20.mzML	9	T	a	P9Ta
guot_L160307_sw_liver21.mzML	10	T	a	P10Ta
guot_L160307_sw_liver22.mzML	11	T	a	P11Ta
guot_L160307_sw_liver23.mzML	12	N	a	P12Na
guot_L160307_sw_liver24.mzML	13	N	a	P13Na
guot_L160307_sw_liver25.mzML	14	N	a	P14Na
guot_L160307_sw_liver26.mzML	15	N	a	P15Na
guot_L160307_sw_liver27.mzML	16	N	a	P16Na
guot_L160307_sw_liver28.mzML	17	N	a	P17Na
guot_L160307_sw_liver29.mzML	18	N	a	P18Na
guot_L160307_sw_liver30.mzML	19	N	a	P19Na
guot_L160307_sw_liver31.mzML	12	T	a	P12Ta
guot_L160307_sw_liver32.mzML	13	T	a	P13Ta
guot_L160307_sw_liver33.mzML	14	T	a	P14Ta
guot_L160307_sw_liver34.mzML	15	T	a	P15Ta
guot_L160307_sw_liver35.mzML	16	T	a	P16Ta
guot_L160307_sw_liver36.mzML	17	T	a	P17Ta
guot_L160307_sw_liver37.mzML	18	T	a	P18Ta
guot_L160307_sw_liver38.mzML	19	T	a	P19Ta
guot_L160307_sw_liver39.mzML	1	N	b	P1Nb
guot_L160307_sw_liver40.mzML	2	N	b	P2Nb
guot_L160307_sw_liver41.mzML	3	N	b	P3Nb
guot_L160307_sw_liver42.mzML	4	N	b	P4Nb
guot_L160307_sw_liver43.mzML	5	N	b	P5Nb
guot_L160307_sw_liver44.mzML	6	N	b	P6Nb
guot_L160307_sw_liver45.mzML	7	N	b	P7Nb
guot_L160307_sw_liver46.mzML	8	N	b	P8Nb
guot_L160307_sw_liver47.mzML	9	N	b	P9Nb
guot_L160307_sw_liver48.mzML	10	N	b	P10Nb
guot_L160307_sw_liver49.mzML	11	N	b	P11Nb
guot_L160307_sw_liver50.mzML	1	T	b	P1Tb
guot_L160307_sw_liver51.mzML	2	T	b	P2Tb
guot_L160307_sw_liver52.mzML	3	T	b	P3Tb
guot_L160307_sw_liver53.mzML	4	T	b	P4Tb
guot_L160307_sw_liver54.mzML	5	T	b	P5Tb
guot_L160307_sw_liver55.mzML	6	T	b	P6Tb
guot_L160307_sw_liver56.mzML	7	T	b	P7Tb
guot_L160307_sw_liver57.mzML	8	T	b	P8Tb
guot_L160307_sw_liver58.mzML	9	T	b	P9Tb
guot_L160307_sw_liver59.mzML	10	T	b	P10Tb
guot_L160307_sw_liver60.mzML	11	T	b	P11Tb
guot_L160307_sw_liver61.mzML	12	N	b	P12Nb
guot_L160307_sw_liver62.mzML	13	N	b	P13Nb
guot_L160307_sw_liver63.mzML	14	N	b	P14Nb
guot_L160307_sw_liver64.mzML	15	N	b	P15Nb
guot_L160307_sw_liver65.mzML	16	N	b	P16Nb
guot_L160307_sw_liver66.mzML	17	N	b	P17Nb
guot_L160307_sw_liver67.mzML	18	N	b	P18Nb
guot_L160307_sw_liver68.mzML	19	N	b	P19Nb
guot_L160307_sw_liver69.mzML	12	T	b	P12Tb
guot_L160307_sw_liver70.mzML	13	T	b	P13Tb
guot_L160307_sw_liver71.mzML	14	T	b	P14Tb
guot_L160307_sw_liver72.mzML	15	T	b	P15Tb
guot_L160307_sw_liver73.mzML	16	T	b	P16Tb
guot_L160307_sw_liver74.mzML	17	T	b	P17Tb
guot_L160307_sw_liver75.mzML	18	T	b	P18Tb
guot_L160307_sw_liver76.mzML	19	T	b	P19Tb

