Run	Condition	BioReplicate
HLS9_DIA1.mzML	normal	1
HLS9_DIA2.mzML	normal	2
HLS9_DIA3.mzML	normal	3
HLS9_DIA4.mzML	normal	4
HLS9_DIA5.mzML	normal	5
HLS9_DIA6.mzML	normal	6
HLS9_DIA7.mzML	normal	7
HLS9_DIA8.mzML	normal	8
HLS9_DIA9.mzML	normal	9
HLS9_DIA10.mzML	normal	10
HLS9_DIA11.mzML	normal	11
HLS9_DIA12.mzML	normal	12
HLS9_DIA13.mzML	normal	13
HLS9_DIA14.mzML	normal	14
HLS9_DIA15.mzML	normal	15
HLS9_DIA16.mzML	normal	16
HLS9_DIA17.mzML	normal	17
HLS9_DIA18.mzML	normal	18
HLS9_DIA19.mzML	normal	19
HLS9_DIA20.mzML	normal	20
HLS9_DIA21.mzML	normal	21
HLS9_DIA22.mzML	normal	22
HLS9_DIA23.mzML	normal	23
HLS9_DIA24.mzML	normal	24
HLS9_DIA25.mzML	normal	25
HLS9_DIA26.mzML	normal	26
HLS9_DIA27.mzML	normal	27
HLS9_DIA28.mzML	normal	28
HLS9_DIA29.mzML	normal	29
HLS9_DIA30.mzML	normal	30
HLS9_DIA31.mzML	normal	31
HLS9_DIA32.mzML	normal	32
HLS9_DIA33.mzML	normal	33
HLS9_DIA34.mzML	normal	34
HLS9_DIA35.mzML	normal	35
HLS9_DIA36.mzML	normal	36
HLS9_DIA_Pool1.mzML	pool1	1
HLS9_DIA_Pool2.mzML	pool1	2
HLS9_DIA_Pool3.mzML	pool1	3
HLM_DIA_Pool1.mzML	pool2	1
HLM_DIA_Pool2.mzML	pool2	2
HLM_DIA_Pool3.mzML	pool2	3
