Condition	BioReplicate	Run
DCIS	1	SWATH-DCIS-1-1.mzML
DCIS	2	SWATH-DCIS-1-2.mzML
DCIS	3	SWATH-DCIS-10-1.mzML
DCIS	4	SWATH-DCIS-10-2.mzML
DCIS	5	SWATH-DCIS-11-1.mzML
DCIS	6	SWATH-DCIS-11-2.mzML
DCIS	7	SWATH-DCIS-12-1.mzML
DCIS	8	SWATH-DCIS-12-2.mzML
DCIS	9	SWATH-DCIS-13-1.mzML
DCIS	10	SWATH-DCIS-13-2.mzML
DCIS	11	SWATH-DCIS-14-1.mzML
DCIS	12	SWATH-DCIS-14-2.mzML
DCIS	13	SWATH-DCIS-15-1.mzML
DCIS	14	SWATH-DCIS-15-2.mzML
DCIS	15	SWATH-DCIS-16-1.mzML
DCIS	16	SWATH-DCIS-16-2.mzML
DCIS	17	SWATH-DCIS-17-1.mzML
DCIS	18	SWATH-DCIS-17-2.mzML
DCIS	19	SWATH-DCIS-17-3.mzML
DCIS	20	SWATH-DCIS-18-1.mzML
DCIS	21	SWATH-DCIS-18-2.mzML
DCIS	22	SWATH-DCIS-19-1.mzML
DCIS	23	SWATH-DCIS-19-2.mzML
DCIS	24	SWATH-DCIS-2-1.mzML
DCIS	25	SWATH-DCIS-2-2.mzML
DCIS	26	SWATH-DCIS-20-1.mzML
DCIS	27	SWATH-DCIS-20-2.mzML
DCIS	28	SWATH-DCIS-3-1.mzML
DCIS	29	SWATH-DCIS-3-2.mzML
DCIS	30	SWATH-DCIS-4-1.mzML
DCIS	31	SWATH-DCIS-4-2.mzML
DCIS	32	SWATH-DCIS-5-1.mzML
DCIS	33	SWATH-DCIS-5-2.mzML
DCIS	34	SWATH-DCIS-6-1.mzML
DCIS	35	SWATH-DCIS-6-2.mzML
DCIS	36	SWATH-DCIS-7-1.mzML
DCIS	37	SWATH-DCIS-7-2.mzML
DCIS	38	SWATH-DCIS-8-1.mzML
DCIS	39	SWATH-DCIS-8-2.mzML
DCIS	40	SWATH-DCIS-9-1.mzML
DCIS	41	SWATH-DCIS-9-2.mzML
ERPR	1	SWATH-ERPR-1-1.mzML
ERPR	2	SWATH-ERPR-1-2.mzML
ERPR	3	SWATH-ERPR-10-1.mzML
ERPR	4	SWATH-ERPR-10-2.mzML
ERPR	5	SWATH-ERPR-11-1.mzML
ERPR	6	SWATH-ERPR-11-2.mzML
ERPR	7	SWATH-ERPR-12-1.mzML
ERPR	8	SWATH-ERPR-12-2.mzML
ERPR	9	SWATH-ERPR-13-1.mzML
ERPR	10	SWATH-ERPR-13-2.mzML
ERPR	11	SWATH-ERPR-2-1.mzML
ERPR	12	SWATH-ERPR-2-2.mzML
ERPR	13	SWATH-ERPR-3-1.mzML
ERPR	14	SWATH-ERPR-3-2.mzML
ERPR	15	SWATH-ERPR-4-1.mzML
ERPR	16	SWATH-ERPR-4-2.mzML
ERPR	17	SWATH-ERPR-5-1.mzML
ERPR	18	SWATH-ERPR-5-2.mzML
ERPR	19	SWATH-ERPR-6-1.mzML
ERPR	20	SWATH-ERPR-6-2.mzML
ERPR	21	SWATH-ERPR-7-1.mzML
ERPR	22	SWATH-ERPR-7-2.mzML
ERPR	23	SWATH-ERPR-8-1.mzML
ERPR	24	SWATH-ERPR-8-2.mzML
ERPR	25	SWATH-ERPR-9-1.mzML
ERPR	26	SWATH-ERPR-9-2.mzML
ERPRHer	1	SWATH-ERPRHer-1-1.mzML
ERPRHer	2	SWATH-ERPRHer-1-2.mzML
ERPRHer	3	SWATH-ERPRHer-10-1.mzML
ERPRHer	4	SWATH-ERPRHer-10-2.mzML
ERPRHer	5	SWATH-ERPRHer-11-1.mzML
ERPRHer	6	SWATH-ERPRHer-11-2.mzML
ERPRHer	7	SWATH-ERPRHer-12-1.mzML
ERPRHer	8	SWATH-ERPRHer-12-2.mzML
ERPRHer	9	SWATH-ERPRHer-13-1.mzML
ERPRHer	10	SWATH-ERPRHer-13-2.mzML
ERPRHer	11	SWATH-ERPRHer-2-1.mzML
ERPRHer	12	SWATH-ERPRHer-2-2.mzML
ERPRHer	13	SWATH-ERPRHer-3-1.mzML
ERPRHer	14	SWATH-ERPRHer-3-2.mzML
ERPRHer	15	SWATH-ERPRHer-4-1.mzML
ERPRHer	16	SWATH-ERPRHer-4-2.mzML
ERPRHer	17	SWATH-ERPRHer-5-1.mzML
ERPRHer	18	SWATH-ERPRHer-5-2.mzML
ERPRHer	19	SWATH-ERPRHer-6-1.mzML
ERPRHer	20	SWATH-ERPRHer-6-2.mzML
ERPRHer	21	SWATH-ERPRHer-7-1.mzML
ERPRHer	22	SWATH-ERPRHer-7-2.mzML
ERPRHer	23	SWATH-ERPRHer-8-1.mzML
