Condition	BioReplicate	Run	technical_replicate
DCIS	d1	SWATH-DCIS-1-1.mzML	a
DCIS	d1	SWATH-DCIS-1-2.mzML	b
DCIS	d10	SWATH-DCIS-10-1.mzML	a
DCIS	d10	SWATH-DCIS-10-2.mzML	b
DCIS	d11	SWATH-DCIS-11-1.mzML	a
DCIS	d11	SWATH-DCIS-11-2.mzML	b
DCIS	d12	SWATH-DCIS-12-1.mzML	a
DCIS	d12	SWATH-DCIS-12-2.mzML	b
DCIS	d13	SWATH-DCIS-13-1.mzML	a
DCIS	d13	SWATH-DCIS-13-2.mzML	b
DCIS	d14	SWATH-DCIS-14-1.mzML	a
DCIS	d14	SWATH-DCIS-14-2.mzML	b
DCIS	d15	SWATH-DCIS-15-1.mzML	a
DCIS	d15	SWATH-DCIS-15-2.mzML	b
DCIS	d16	SWATH-DCIS-16-1.mzML	a
DCIS	d16	SWATH-DCIS-16-2.mzML	b
DCIS	d17	SWATH-DCIS-17-1.mzML	a
DCIS	d17	SWATH-DCIS-17-2.mzML	b
DCIS	d17	SWATH-DCIS-17-3.mzML	c
DCIS	d18	SWATH-DCIS-18-1.mzML	a
DCIS	d18	SWATH-DCIS-18-2.mzML	b
DCIS	d19	SWATH-DCIS-19-1.mzML	a
DCIS	d19	SWATH-DCIS-19-2.mzML	b
DCIS	d2	SWATH-DCIS-2-1.mzML	a
DCIS	d2	SWATH-DCIS-2-2.mzML	b
DCIS	d20	SWATH-DCIS-20-1.mzML	a
DCIS	d20	SWATH-DCIS-20-2.mzML	b
DCIS	d3	SWATH-DCIS-3-1.mzML	a
DCIS	d3	SWATH-DCIS-3-2.mzML	b
DCIS	d4	SWATH-DCIS-4-1.mzML	a
DCIS	d4	SWATH-DCIS-4-2.mzML	b
DCIS	d5	SWATH-DCIS-5-1.mzML	a
DCIS	d5	SWATH-DCIS-5-2.mzML	b
DCIS	d6	SWATH-DCIS-6-1.mzML	a
DCIS	d6	SWATH-DCIS-6-2.mzML	b
DCIS	d7	SWATH-DCIS-7-1.mzML	a
DCIS	d7	SWATH-DCIS-7-2.mzML	b
DCIS	d8	SWATH-DCIS-8-1.mzML	a
DCIS	d8	SWATH-DCIS-8-2.mzML	b
DCIS	d9	SWATH-DCIS-9-1.mzML	a
DCIS	d9	SWATH-DCIS-9-2.mzML	b
ERPR	e1	SWATH-ERPR-1-1.mzML	a
ERPR	e1	SWATH-ERPR-1-2.mzML	b
ERPR	e10	SWATH-ERPR-10-1.mzML	a
ERPR	e10	SWATH-ERPR-10-2.mzML	b
ERPR	e11	SWATH-ERPR-11-1.mzML	a
ERPR	e11	SWATH-ERPR-11-2.mzML	b
ERPR	e12	SWATH-ERPR-12-1.mzML	a
ERPR	e12	SWATH-ERPR-12-2.mzML	b
ERPR	e13	SWATH-ERPR-13-1.mzML	a
ERPR	e13	SWATH-ERPR-13-2.mzML	b
ERPR	e2	SWATH-ERPR-2-1.mzML	a
ERPR	e2	SWATH-ERPR-2-2.mzML	b
ERPR	e3	SWATH-ERPR-3-1.mzML	a
ERPR	e3	SWATH-ERPR-3-2.mzML	b
ERPR	e4	SWATH-ERPR-4-1.mzML	a
ERPR	e4	SWATH-ERPR-4-2.mzML	b
ERPR	e5	SWATH-ERPR-5-1.mzML	a
ERPR	e5	SWATH-ERPR-5-2.mzML	b
ERPR	e6	SWATH-ERPR-6-1.mzML	a
ERPR	e6	SWATH-ERPR-6-2.mzML	b
ERPR	e7	SWATH-ERPR-7-1.mzML	a
ERPR	e7	SWATH-ERPR-7-2.mzML	b
ERPR	e8	SWATH-ERPR-8-1.mzML	a
ERPR	e8	SWATH-ERPR-8-2.mzML	b
ERPR	e9	SWATH-ERPR-9-1.mzML	a
ERPR	e9	SWATH-ERPR-9-2.mzML	b
ERPRHer	eh1	SWATH-ERPRHer-1-1.mzML	a
ERPRHer	eh1	SWATH-ERPRHer-1-2.mzML	b
ERPRHer	eh10	SWATH-ERPRHer-10-1.mzML	a
ERPRHer	eh10	SWATH-ERPRHer-10-2.mzML	b
ERPRHer	eh11	SWATH-ERPRHer-11-1.mzML	a
ERPRHer	eh11	SWATH-ERPRHer-11-2.mzML	b
ERPRHer	eh12	SWATH-ERPRHer-12-1.mzML	a
ERPRHer	eh12	SWATH-ERPRHer-12-2.mzML	b
ERPRHer	eh13	SWATH-ERPRHer-13-1.mzML	a
ERPRHer	eh13	SWATH-ERPRHer-13-2.mzML	b
ERPRHer	eh2	SWATH-ERPRHer-2-1.mzML	a
ERPRHer	eh2	SWATH-ERPRHer-2-2.mzML	b
ERPRHer	eh3	SWATH-ERPRHer-3-1.mzML	a
ERPRHer	eh3	SWATH-ERPRHer-3-2.mzML	b
ERPRHer	eh4	SWATH-ERPRHer-4-1.mzML	a
ERPRHer	eh4	SWATH-ERPRHer-4-2.mzML	b
ERPRHer	eh5	SWATH-ERPRHer-5-1.mzML	a
ERPRHer	eh5	SWATH-ERPRHer-5-2.mzML	b
ERPRHer	eh6	SWATH-ERPRHer-6-1.mzML	a
ERPRHer	eh6	SWATH-ERPRHer-6-2.mzML	b
ERPRHer	eh7	SWATH-ERPRHer-7-1.mzML	a
ERPRHer	eh7	SWATH-ERPRHer-7-2.mzML	b
ERPRHer	eh8	SWATH-ERPRHer-8-1.mzML	a
ERPRHer	eh8	SWATH-ERPRHer-8-2.mzML	b
ERPRHer	eh9	SWATH-ERPRHer-9-1.mzML	a
ERPRHer	eh9	SWATH-ERPRHer-9-2.mzML	b
Her	h1	SWATH-Her-1-1.mzML	a
Her	h1	SWATH-Her-1-2.mzML	b
Her	h10	SWATH-Her-10-1.mzML	a
Her	h10	SWATH-Her-10-2.mzML	b
Her	h11	SWATH-Her-11-1.mzML	a
Her	h11	SWATH-Her-11-2.mzML	b
Her	h12	SWATH-Her-12-1.mzML	a
Her	h12	SWATH-Her-12-2.mzML	b
Her	h13	SWATH-Her-13-1.mzML	a
Her	h13	SWATH-Her-13-2.mzML	b
Her	h2	SWATH-Her-2-1.mzML	a
Her	h2	SWATH-Her-2-2.mzML	b
Her	h3	SWATH-Her-3-1.mzML	a
Her	h3	SWATH-Her-3-2.mzML	b
Her	h4	SWATH-Her-4-1.mzML	a
Her	h4	SWATH-Her-4-2.mzML	b
Her	h5	SWATH-Her-5-1.mzML	a
Her	h5	SWATH-Her-5-2.mzML	b
Her	h6	SWATH-Her-6-1.mzML	a
Her	h6	SWATH-Her-6-2.mzML	b
Her	h7	SWATH-Her-7-1.mzML	a
Her	h7	SWATH-Her-7-2.mzML	b
Her	h8	SWATH-Her-8-1.mzML	a
Her	h8	SWATH-Her-8-2.mzML	b
Her	h9	SWATH-Her-9-1.mzML	a
Her	h9	SWATH-Her-9-2.mzML	b
TN	t1	SWATH-TN-1-1.mzML	a
TN	t1	SWATH-TN-1-2.mzML	b
TN	t10	SWATH-TN-10-1.mzML	a
TN	t10	SWATH-TN-10-2.mzML	b
TN	t11	SWATH-TN-11-1.mzML	a
TN	t11	SWATH-TN-11-2.mzML	b
TN	t12	SWATH-TN-12-1.mzML	a
TN	t12	SWATH-TN-12-2.mzML	b
TN	t13	SWATH-TN-13-1.mzML	a
TN	t13	SWATH-TN-13-2.mzML	b
TN	t2	SWATH-TN-2-1.mzML	a
TN	t2	SWATH-TN-2-2.mzML	b
TN	13	SWATH-TN-3-1.mzML	a
TN	t3	SWATH-TN-3-2.mzML	b
TN	t4	SWATH-TN-4-1.mzML	a
TN	t4	SWATH-TN-4-2.mzML	b
TN	t5	SWATH-TN-5-1.mzML	a
TN	t5	SWATH-TN-5-2.mzML	b
TN	t6	SWATH-TN-6-1.mzML	a
TN	t6	SWATH-TN-6-2.mzML	b
TN	t7	SWATH-TN-7-1.mzML	a
TN	t7	SWATH-TN-7-2.mzML	b
TN	t8	SWATH-TN-8-1.mzML	a
TN	t8	SWATH-TN-8-2.mzML	b
TN	t9	SWATH-TN-9-1.mzML	a
TN	t9	SWATH-TN-9-2.mzML	b
