Run	Condition	BioReplicate	tissue_region	pct_batch	sample_name	quant_matrix_key
weissto_I170422_012.mzML	PCNSL	C1	A	batch2	C1A	wlym11
weissto_I170425_002.mzML	PCNSL	C1	B	batch2	C1B	wlym37
weissto_I170503_008.mzML	PCNSL	C1	C	batch2	C1C	wlym74
weissto_I170423_012.mzML	PCNSL	C10	A	batch3	C10A	wlym30
weissto_I170508_009.mzML	PCNSL	C10	B	batch3	C10B	wlym107
weissto_I170422_014.mzML	PCNSL	C11	A	batch3	C11A	wlym13
weissto_I170427_003.mzML	PCNSL	C11	B	batch3	C11B	wlym54
weissto_I170503_011.mzML	PCNSL	C11	C	batch3	C11C	wlym76
weissto_I170425_015.mzML	PCNSL	C12	B	batch3	C12B	wlym47
weissto_I170422_004.mzML	PCNSL	C13	A	batch4	C13A	wlym4
weissto_I170502_020.mzML	PCNSL	C13	B	batch4	C13B	wlym68
weissto_I170423_017.mzML	PCNSL	C14	A	batch4	C14A	wlym32
weissto_I170425_006.mzML	PCNSL	C14	B	batch4	C14B	wlym41
weissto_I170505_003.mzML	PCNSL	C14	C	batch4	C14C	wlym88
weissto_I170422_015.mzML	PCNSL	C15	A	batch4	C15A	wlym14
weissto_I170511_013.mzML	PCNSL	C15	B	batch4	C15B	wlym110
weissto_I170503_019.mzML	PCNSL	C15	C	batch4	C15C	wlym84
weissto_I170423_004.mzML	PCNSL	C16	A	batch4	C16A	wlym22
weissto_I170425_012.mzML	PCNSL	C16	B	batch4	C16B	wlym45
weissto_I170505_020.mzML	PCNSL	C16	C	batch4	C16C	wlym102
weissto_I170422_013.mzML	PCNSL	C17	A	batch4	C17A	wlym12
weissto_I170502_016.mzML	PCNSL	C17	B	batch4	C17B	wlym64
weissto_I170503_015.mzML	PCNSL	C17	C	batch4	C17C	wlym80
weissto_I170423_005.mzML	PCNSL	C18	A	batch4	C18A	wlym23
weissto_I170511_011.mzML	PCNSL	C18	B	batch4	C18B	wlym108
weissto_I170505_012.mzML	PCNSL	C18	C	batch4	C18C	wlym95
weissto_I170422_009.mzML	PCNSL	C19	A	batch4	C19A	wlym8
weissto_I170427_009.mzML	PCNSL	C19	B	batch4	C19B	wlym58
weissto_I170423_007.mzML	PCNSL	C2	A	batch2	C2A	wlym25
weissto_I170427_011.mzML	PCNSL	C2	B	batch3	C2B	wlym60
weissto_I170505_010.mzML	PCNSL	C2	C	batch3	C2C	wlym93
weissto_I170422_020.mzML	PCNSL	C3	A	batch3	C3A	wlym19
weissto_I170425_017.mzML	PCNSL	C3	B	batch3	C3B	wlym49
weissto_I170503_013.mzML	PCNSL	C3	C	batch3	C3C	wlym78
weissto_I170423_018.mzML	PCNSL	C4	A	batch3	C4A	wlym33
weissto_I170505_002.mzML	PCNSL	C4	C	batch3	C4C	wlym87
weissto_I170422_003.mzML	PCNSL	C5	A	batch3	C5A	wlym3
weissto_I170502_018.mzML	PCNSL	C5	B	batch3	C5B	wlym66
weissto_I170503_002.mzML	PCNSL	C5	C	batch3	C5C	wlym70
weissto_I170422_018.mzML	PCNSL	C6	A	batch3	C6A	wlym17
weissto_I170425_004.mzML	PCNSL	C6	B	batch3	C6B	wlym39
weissto_I170511_016.mzML	PCNSL	C6	C	batch3	C6C	wlym113
weissto_I170423_002.mzML	PCNSL	C7	A	batch3	C7A	wlym21
weissto_I170427_002.mzML	PCNSL	C7	B	batch3	C7B	wlym53
weissto_I170503_018.mzML	PCNSL	C7	C	batch3	C7C	wlym83
weissto_I170508_006.mzML	PCNSL	C8	A	batch3	C8A	wlym106
weissto_I170505_018.mzML	PCNSL	C8	C	batch3	C8C	wlym100
weissto_I170511_015.mzML	PCNSL	C9	B	batch3	C9B	wlym112
weissto_I170503_004.mzML	PCNSL	C9	C	batch3	C9C	wlym72
weissto_I170422_002.mzML	eDLBCL	E1	A	batch1	E1A	wlym2
weissto_I170425_001.mzML	eDLBCL	E1	B	batch1	E1B	wlym36
weissto_I170503_001.mzML	eDLBCL	E1	C	batch1	E1C	wlym69
weissto_I170422_016.mzML	eDLBCL	E10	A	batch1	E10A	wlym15
weissto_I170425_007.mzML	eDLBCL	E10	B	batch1	E10B	wlym42
weissto_I170505_004.mzML	eDLBCL	E10	C	batch1	E10C	wlym89
weissto_I170508_004.mzML	eDLBCL	E11	A	batch1	E11A	wlym104
weissto_I170427_010.mzML	eDLBCL	E11	B	batch1	E11B	wlym59
weissto_I170503_014.mzML	eDLBCL	E11	C	batch2	E11C	wlym79
weissto_I170422_010.mzML	eDLBCL	E12	A	batch2	E12A	wlym9
weissto_I170425_016.mzML	eDLBCL	E12	B	batch2	E12B	wlym48
weissto_I170505_019.mzML	eDLBCL	E12	C	batch2	E12C	wlym101
weissto_I170423_015.mzML	eDLBCL	E13	A	batch2	E13A	wlym31
weissto_I170427_005.mzML	eDLBCL	E13	B	batch2	E13B	wlym55
weissto_I170503_005.mzML	eDLBCL	E13	C	batch2	E13C	wlym73
weissto_I170422_007.mzML	eDLBCL	E14	A	batch2	E14A	wlym6
weissto_I170425_011.mzML	eDLBCL	E14	B	batch2	E14B	wlym44
weissto_I170503_016.mzML	eDLBCL	E14	C	batch2	E14C	wlym81
weissto_I170508_005.mzML	eDLBCL	E15	A	batch2	E15A	wlym105
weissto_I170502_015.mzML	eDLBCL	E15	B	batch2	E15B	wlym63
weissto_I170505_009.mzML	eDLBCL	E15	C	batch2	E15C	wlym92
weissto_I170422_017.mzML	eDLBCL	E16	A	batch2	E16A	wlym16
weissto_I170425_005.mzML	eDLBCL	E16	B	batch2	E16B	wlym40
weissto_I170423_008.mzML	eDLBCL	E17	A	batch2	E17A	wlym26
weissto_I170427_007.mzML	eDLBCL	E17	B	batch2	E17B	wlym56
weissto_I170505_006.mzML	eDLBCL	E17	C	batch2	E17C	wlym90
weissto_I170422_011.mzML	eDLBCL	E18	A	batch2	E18A	wlym10
weissto_I170425_019.mzML	eDLBCL	E18	B	batch2	E18B	wlym51
weissto_I170503_012.mzML	eDLBCL	E18	C	batch2	E18C	wlym77
weissto_I170423_009.mzML	eDLBCL	E19	A	batch2	E19A	wlym27
weissto_I170502_017.mzML	eDLBCL	E19	B	batch2	E19B	wlym65
weissto_I170505_015.mzML	eDLBCL	E19	C	batch2	E19C	wlym97
weissto_I170423_001.mzML	eDLBCL	E2	A	batch1	E2A	wlym20
weissto_I170425_013.mzML	eDLBCL	E2	B	batch1	E2B	wlym46
weissto_I170505_001.mzML	eDLBCL	E2	C	batch1	E2C	wlym86
weissto_I170422_005.mzML	eDLBCL	E20	A	batch2	E20A	wlym5
weissto_I170502_013.mzML	eDLBCL	E20	B	batch2	E20B	wlym62
weissto_I170511_014.mzML	eDLBCL	E20	B	batch2	E20B	wlym111
weissto_I170505_011.mzML	eDLBCL	E20	C	batch2	E20C	wlym94
weissto_I170422_001.mzML	eDLBCL	E3	A	batch1	E3A	wlym1
weissto_I170427_001.mzML	eDLBCL	E3	B	batch1	E3B	wlym52
weissto_I170503_020.mzML	eDLBCL	E3	C	batch1	E3C	wlym85
weissto_I170423_019.mzML	eDLBCL	E4	A	batch1	E4A	wlym34
weissto_I170425_010.mzML	eDLBCL	E4	B	batch1	E4B	wlym43
weissto_I170505_007.mzML	eDLBCL	E4	C	batch1	E4C	wlym91
weissto_I170422_019.mzML	eDLBCL	E5	A	batch1	E5A	wlym18
weissto_I170427_008.mzML	eDLBCL	E5	B	batch1	E5B	wlym57
weissto_I170503_010.mzML	eDLBCL	E5	C	batch1	E5C	wlym75
weissto_I170423_011.mzML	eDLBCL	E6	A	batch1	E6A	wlym29
weissto_I170425_018.mzML	eDLBCL	E6	B	batch1	E6B	wlym50
weissto_I170505_017.mzML	eDLBCL	E6	C	batch1	E6C	wlym99
weissto_I170423_006.mzML	eDLBCL	E7	A	batch1	E7A	wlym24
weissto_I170425_003.mzML	eDLBCL	E7	B	batch1	E7B	wlym38
weissto_I170503_017.mzML	eDLBCL	E7	C	batch1	E7C	wlym82
weissto_I170422_008.mzML	eDLBCL	E8	A	batch1	E8A	wlym7
weissto_I170511_012.mzML	eDLBCL	E8	B	batch1	E8B	wlym109
weissto_I170505_013.mzML	eDLBCL	E8	C	batch1	E8C	wlym96
weissto_I170423_020.mzML	eDLBCL	E9	A	batch1	E9A	wlym35
weissto_I170502_019.mzML	eDLBCL	E9	B	batch1	E9B	wlym67
weissto_I170503_003.mzML	eDLBCL	E9	C	batch1	E9C	wlym71
weissto_I170423_010.mzML	IVL	I1	A	batch4	I1A	wlym28
weissto_I170427_012.mzML	IVL	I1	B	batch4	I1B	wlym61
weissto_I170505_016.mzML	IVL	I1	C	batch4	I1C	wlym98
weissto_I170508_002.mzML	IVL	I2	B	batch4	I2B	wlym103
