Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
P09110	288001.7778	46353.275	237958.4833	30102.46944	297711.2	37098.08611	67454.83889	92200.61944	231528.4306	12617.17778	263299.0583	NA	222387.2083	NA	177210.95	27857.94167	84689.83889	43497.88611	280540.2583	77962.16667	235242.4556	23827.06111	302761.3833	41190.06944	2064.747222	97756.43611	122386.3056	NA	177772.0361	35479.70278	268122.8361	NA	163965.7639	45871.05	27432.71944	47697.29444
P05166	246687.75	70504.27222	253890.9056	NA	314250.0694	33680.65278	108554.7139	321442.6944	260389.5194	183399.7111	258247.0806	139288.4583	284934.4944	115138	245595.875	30488.41389	221564.9694	280540.2583	240054.7583	65477.98889	250479.2778	NA	327799.0389	41974.24167	125103.0361	321442.6944	175808.5028	207384.6972	203666.25	36493.12222	201171.9389	60214.33611	240054.7583	27005.53056	160172.6972	224837.6167
Q96RP9	37872.59722	NA	40359.89444	NA	73975.35	NA	64601.65278	56815.28056	34506.98889	35176.2	98642.34167	23060.30278	91995.30278	NA	37735.47778	33491.8	48208.46111	47858.23889	39584.43611	NA	67976.03333	23631.73889	46763.47778	NA	2064.747222	53619.98889	67555.47222	63905.90278	34436.2	NA	92823.64722	NA	62603.47222	42678.39444	51910.26667	54839.00278
Q15417	28364.89722	NA	NA	NA	NA	44156.46944	52272.02222	27128.025	10577.49444	32524.26667	14171.12222	33388.925	27593.38056	49821.31667	23144.21389	24964.95	32403	NA	24907.93611	46053.91944	NA	NA	25129.85556	42948.40278	2064.747222	26438.35278	23207.51389	26736.88611	20057.05833	33116.58889	37526.54444	37786.89722	30434.37222	28736.94444	33116.58889	NA
Q96FQ6	NA	35176.2	NA	66058.38611	NA	30674.60278	1804.5375	21706.64722	NA	NA	11359.64167	NA	18677.57778	41493.97222	12617.17778	22496.77222	NA	NA	NA	36422.79444	NA	75858.82778	20589.93333	31161.05556	2064.747222	20398.125	NA	NA	NA	NA	18760.08056	39848.8	NA	22619.79444	NA	NA
P62820	NA	NA	NA	NA	NA	NA	54417.16389	3130.811111	NA	68503.39167	NA	NA	NA	NA	NA	NA	NA	NA	32596.28333	NA	NA	54839.00278	NA	48748.28056	2064.747222	NA	NA	64601.65278	NA	NA	NA	43350.85833	NA	42316.625	NA	NA
P27169	NA	47101.825	58436.30556	18128.35	NA	33573.35833	112930.5944	NA	NA	NA	NA	59432.1	NA	39084.55278	36282.92222	16953.34444	NA	NA	NA	45107.12778	NA	19506.66944	NA	38130.55	109838.8889	NA	NA	NA	NA	54990.34444	NA	42825.81667	38443.16111	NA	NA	NA
Q9UL46	33680.65278	99968.925	59047.325	145114.2222	33256.26111	141575.7361	77962.16667	75727.375	64365.04167	121022.2306	40286.825	114480.7917	40567.00556	104458.4222	42876.78056	83666.13889	55954.91667	62742.03056	33768.26667	111940.7639	59915.42222	151558.8611	38443.16111	113145.4611	79024.33333	73747.38056	40140.37222	93734.03056	29748.37222	89524.71944	31585.27778	89524.71944	36825.06389	72866.16111	59735.84722	46553.01944
P08237	39644.09722	NA	54240.60556	NA	136063.9972	NA	1804.5375	62845.96667	141296.2972	100616.2694	137596.7167	NA	140860.8611	NA	96590.73056	NA	92823.64722	51085.23889	155550.8472	NA	47697.29444	NA	136063.9972	NA	2064.747222	58618.04722	143381.05	96590.73056	136629.5861	NA	143056.5028	50923.03889	101544.7639	NA	89057.4	49636.30833
P04040	292456.0528	149632.625	239229.2278	24964.95	258247.0806	220764.4333	540115.8056	133921.8944	284934.4944	367784.6583	293727.3139	179981.8806	259314.5667	124294.3139	204722.1472	77070.33333	109006.6667	136875.9056	290924.3778	163095.2222	237958.4833	31389.74722	271920.3667	227900.2778	499422.7611	150524.4639	294964.2667	408058.6167	297711.2	183892.9583	263299.0583	130557.2361	196996.7833	85740.41667	120716.1944	135034.975
