Protein	PCV1	PCV2	PCV3	PCV4	PCV5	PCV6	PCV7	PCV8	PCV9	PCV10	PCV11	PCV12	PCV13	PCV14	PCV15	PCV16	PCV17	PCV18	PCV19	PCV20	PCV21	PCV22	PCV23	PCV24	PCV25	PCV26	PCV27	PCV28	PCV29	PCV30	PCV31	PCV32	PCV33	PCV34	PCV35	PCV36	PCV37	PCV38	PCV39	PCV40	PCV41	PCV42	PCV43	PCV44	PCV45	PCV46	PCV47	PCV48	PCV49	PCV50	PCV51	PCV52	PCV53	PCV54	PCV55	PCV56	PCV57	PCV58	PCV59	PCV60
A0AV96	67247.97496	42856.62887	73812.41942	121835.2822	73179.89458	106912.4599	61443.51719	69663.40252	38986.3158	61714.85168	73290.58472	89333.14064	49737.75838	118240.0385	59516.77035	61110.73594	96378.79421	63814.39607	143081.009	80828.68018	151694.7361	88926.23126	96151.84737	80664.39372	84501.48369	113224.4413	148373.1139	73898.52847	97980.13256	82540.77493	42271.15941	42267.76665	82111.12524	68215.74163	57313.96225	73130.20394	43622.48497	39754.3211	42632.88179	54367.67223	20055.74814	56169.47606	61147.25416	69498.93735	51446.88893	72213.673	66741.12668	56711.7143	82554.85489	102044.0286	121566.5766	96453.32197	103798.8895	91877.02961	71563.62739	109728.1061	76363.5529	77775.82799	104283.1899	107630.7013
A0AVT1	213420.8204	224444.7672	299610.2122	340090.3394	214892.8163	299845.8337	296373.7467	371133.1277	237901.9877	237562.5552	277517.0655	326006.5053	330147.7897	350136.559	362148.9491	220995.0615	234382.2939	252431.2506	259751.406	368349.8424	300091.4216	231925.6744	247683.2893	331130.0274	297054.2905	273355.838	405563.5214	240190.4289	323947.091	237421.222	209154.9624	263517.0642	272346.5277	310162.4981	282669.7057	265476.6771	239802.487	260152.0093	261868.3262	209532.7999	134495.5683	233409.4166	332460.1261	282758.6181	313846.0522	233746.5892	257048.8795	216016.021	313743.084	383459.5948	363580.2123	301185.0231	353142.5388	295619.9899	317495.3903	328861.5414	344904.8507	322359.4374	336923.1242	384316.6246
A0FGR8	477253.3979	453148.4094	484683.9251	880130.8816	527495.2243	769568.466	807728.344	731538.3133	547632.9998	372582.586	598739.0126	754900.1559	446289.1045	784670.3258	676702.9419	630782.2598	627649.4377	482305.7566	840650.6911	831669.9677	763111.6514	592888.8542	809962.3021	721697.3848	575246.3204	602300.686	815454.1559	608985.3329	523887.02	650887.7763	430257.8512	403821.3889	487713.6357	820723.1159	622232.4746	588290.9113	671732.6044	685629.1019	518398.0657	275931.0894	287260.3746	491708.5649	388004.073	725713.9133	691659.7804	623697.382	705588.0051	510238.1007	775711.9281	749711.3891	646040.2303	621275.6511	940319.4388	648966.3815	618200.156	706657.9722	717458.1607	621316.1673	604127.2309	896544.254
A0MZ66	103452.9714	91098.4568	124304.7392	95118.14534	91987.45607	152464.8688	116774.0842	103112.0366	100700.5062	125844.8134	155219.1491	152739.4721	97071.77463	162303.9751	95443.2418	77237.94158	101018.4321	65455.57451	109293.4134	101372.9593	180443.3777	127433.8496	74882.84198	141631.1228	105312.2916	131082.084	160551.8774	72144.90706	122961.9898	104399.9712	91928.28358	95901.65216	141593.1663	111625.0836	120312.779	110014.9197	86918.42818	111469.4362	143877.2395	113938.3849	71971.60308	113078.3082	119364.1376	139865.3483	129888.6175	79126.09515	107252.2486	108413.331	139880.696	144045.2136	196932.7779	166332.0472	143554.2442	120450.0768	152161.8071	184329.3582	161561.9946	152744.0802	161945.2099	162864.7221
A1A5D9	474973.5916	782479.9314	836542.6542	628560.188	572749.3995	383391.0333	771083.4924	912497.7612	697247.0092	690260.4444	755280.4788	669460.6496	886000.1915	430916.7946	137565.7353	285448.6564	443726.4871	615886.0428	437719.6723	797851.6252	446424.0405	372264.0443	386096.384	570140.4042	600496.0805	533021.8111	798067.8983	544792.0981	565029.9813	447629.9208	410035.624	765995.0459	645281.7951	589922.1813	500339.0592	540876.8057	695381.3209	802166.8452	673699.3391	599748.1665	415175.9635	622053.0995	911538.1144	368378.8419	717995.3541	350227.9999	460927.0039	650423.635	373983.1479	882465.002	495514.9214	403068.9432	468299.3971	546424.1866	673773.8445	574764.229	723289.4105	625273.4657	661543.3849	602856.1075
A1L0T0	249150.5396	197463.5628	221992.4884	377319.1525	275105.9659	406612.0597	277459.5398	326651.3657	221428.9707	229402.3284	314246.7553	284638.6128	207994.2461	333879.2053	345930.4734	232775.9514	247733.8931	199346.1886	329106.6207	303879.6938	413859.4689	310289.0804	298898.3431	284972.0697	261484.7441	301496.741	345328.2609	272856.8828	302600.077	282527.3178	228081.7852	218246.8718	269135.1063	366058.7885	371407.7184	403612.9875	287184.331	229824.8557	236224.0438	233170.7641	145955.9071	237564.9559	247664.1991	282603.193	276655.8009	259963.6634	305791.1934	222804.3593	332846.2026	330715.9112	418647.0438	396917.0255	402615.8997	326064.695	332415.3995	395130.146	299910.007	349951.945	293604.0776	375649.7889
A2RUS2	440644.8071	503981.8551	309479.2925	425452.9187	421306.6751	490055.6284	539173.3235	628245.5962	435172.1718	542901.7865	346498.0889	459052.0917	569872.892	673619.3107	653672.1597	595775.8359	551030.3226	430033.6108	411002.8322	419270.9236	570340.4069	402499.483	285538.6423	464614.1505	340273.4249	408721.9784	536455.3094	300292.4391	422739.0684	286304.5854	675887.3462	322047.8924	499969.6254	513833.8009	498896.1306	497203.461	398857.7105	458010.2962	337592.9655	486077.1418	194782.9664	324919.6545	314800.6534	549529.6852	634691.0815	574543.317	523735.9952	534809.6101	383635.0236	338873.9368	409729.0172	530755.7823	400159.2854	393796.7066	459756.1851	429170.0354	416257.1624	426886.9443	368976.9123	408750.2783
A3KMH1	250188.6112	197491.2592	154198.1727	254082.736	206956.2194	265640.2718	123775.1672	193967.955	132093.5987	229941.9763	238915.7904	190723.6814	173332.5804	252422.0656	285722.1825	187350.7528	181763.8419	144482.2038	414077.9749	195533.9151	248894.6978	316063.8205	191417.1069	227297.5312	344421.2977	222853.3932	247131.5981	160539.0701	248952.1013	184748.5832	201890.7686	160281.4536	296850.9761	237155.751	272918.2227	263317.631	178980.8094	134877.347	154377.0993	215089.3154	132307.4555	134299.0181	127259.0237	170673.1196	175673.4898	178030.4649	164187.843	139444.1015	302367.5699	212409.4095	254894.3164	344373.0627	305048.3135	237494.8539	198436.1411	349558.9362	185668.4657	188236.2694	348468.0793	298932.7664
A5A3E0	385755.8334	400798.1352	912369.6379	1027229.632	399821.2024	905901.7178	674955.0645	1036313.371	673646.4795	693500.3652	885445.6555	709446.964	601791.3458	779674.287	912675.5855	700385.2532	958556.6699	594747.8982	1038412.004	1316449.552	750514.4291	1129324.55	722462.4359	1169757.953	652435.7154	774977.0911	896623.3116	668779.4516	939012.5413	438632.7791	280270.2388	871930.0491	798428.2669	500591.1143	514822.8221	757163.8399	625754.2507	629598.34	680098.4444	497311.3188	144053.9565	351005.0256	537307.7571	750395.2651	521106.4657	378880.9408	376523.3123	423390.5723	613697.7247	677596.5109	669922.2188	523268.9213	518635.8982	538699.3908	636141.6488	590733.7294	642209.122	554599.8854	775947.0947	708440.911
A5YKK6	568694.8679	1050837.53	1178618.208	520606.0229	455363.7772	575316.6033	1067136.803	1074651.92	923669.272	837772.8021	868571.6712	726065.9229	1135895.727	685758.5427	850444.5655	501171.8537	698995.5325	689277.1106	600670.7608	1233475.654	668208.1368	538582.0488	534354.3569	809703.4714	857618.5704	673759.4332	1143138.204	766537.2504	848332.4967	613155.3906	562463.1925	1318186.87	1260906.653	463813.3554	480283.2399	554141.1805	918549.6029	898092.9796	972000.2661	678963.0099	413824.8886	615439.0168	1225354.606	566766.1689	835020.9219	485285.295	675362.9525	713126.0337	490091.9297	1239259.891	587002.3228	513222.8656	624648.3642	740481.6314	955814.564	798979.6235	1014448.595	776810.512	831209.9413	865072.3613
