Protein	FN1	FN2	FN3	FN4	FN5	FN6	FN7	FN8	FN9	FN10	FN11	FN12	FN13	FN14	FN15	FN16	FN31	FN32	FN33	FN34	FN35	FN36	FN37	FN38	FT1	FT2	FT3	FT4	FT5	FT6	FT7	FT8	FT9	FT10	FT11	FT12	FT13	FT14	FT15	FT16	FT31	FT32	FT33	FT34	FT35	FT36	FT37	FT38	PN1	PN2	PN3	PN4	PN5	PN6	PN7	PN8	PN9	PN10	PN11	PN12	PN13	PN14	PN15	PN16	PN31	PN32	PN33	PN34	PN35	PN36	PN37	PN38	PT1	PT2	PT3	PT4	PT5	PT6	PT7	PT8	PT9	PT10	PT11	PT12	PT13	PT14	PT15	PT16	PT31	PT32	PT33	PT34	PT35	PT36	PT37	PT38
A0AV96	13476	9349	11264.5	19540	20031.5	28603.5	12040	6453.5	2991	1849	9020	8305.5	11111.5	8355	12472	9550.5	12788.5	6137	10118.5	2296.5	6723	10908.5	6295	13721.5	17613	10711	14328	18436	26865.5	29053	16444.5	10323.5	11648	8146	6432	4501.5	10379	11083.5	2664	6811.5	2584	3328	7179.5	13938.5	15716.5	12571.5	10149.5	18229.5	14711	13235.5	12114.5	12198	9836.5	23019	9590.5	3658	10224	2870	3449	5279.5	8730.5	6266	7217.5	12346.5	4418	17581	18922.5	8604	23015	14762	10891.5	7208.5	9255	9606	10640.5	9078	11992.5	20342	17517	12542	8665	3586.5	10312	2255	10777	3611.5	5918	1769.5	11869.5	11254.5	5443.5	9593	3380	7815	10492	7772
A0AVT1	8242	8966	8701.5	6614	6794	14686	8480.5	10165	10759.5	13010	7537.5	8748	12080.5	5766	14577	5429	8723	9681.5	5165	9459.5	8298	10352	5107.5	7616.5	10224	7874	11232	5480.5	12840	13212	9143.5	9697.5	6913	7471	7015.5	8941.5	7213	6757	14826.5	7412.5	24478	8119.5	10941	9788.5	11946.5	5491.5	16056.5	16809.5	12877	6379.5	10444	10694	7663	10939	7634.5	8848	5694	6347	8029	11659.5	4114.5	4631	9726.5	8755	8544.5	6018.5	6873.5	7120.5	9015.5	6196.5	4460.5	8013.5	9810.5	5226	8599.5	5488.5	8465.5	10896.5	10409	7730.5	7096.5	3356.5	7647	9301	6760	7041.5	7377	7621.5	9310.5	9922	8513	8378	8072.5	7025.5	4612	13558.5
A0FGR8	3323.5	4585	3908.5	5617	5980	3631.5	5579	3436.5	3542	4243	4216	4007.5	2892	5588	2725	4791.5	4117	6545.5	2214	3549	3485	4860.5	2820.5	2575.5	4020	4426	7421.5	4255.5	5947.5	8257	3425.5	3778	4227.5	3778.5	2931.5	6951.5	3727	6123.5	6413	4054	4517	2773.5	6146	3766	4954	4893.5	4297.5	5309	6535.5	5764.5	6455	3507.5	4841.5	3992	5260.5	3706.5	3691.5	4349.5	4158	3763	6477.5	4331.5	5533.5	5017	5653	5408.5	5038.5	5700	6148	7368.5	5898.5	4443	5425	6499	6173.5	2927	4806	5103	5827	4618.5	4626.5	2715.5	5417	6224	5289.5	5580.5	3308	4386.5	3770.5	5814.5	7410.5	5747	4205	3242.5	5228.5	8878.5
A0MZ66	75831	21698	48362	20151	21749.5	8192.5	60033.5	71859.5	18118.5	20466.5	11205	24448	38436.5	17722	30920	35058.5	10379.5	96607	52888	20942	38277.5	25308.5	108497.5	36247.5	21999.5	44552	7043	30058	12294.5	14131	34905	61229.5	4118	112380	42589	26621.5	28433.5	45556	12254.5	21917.5	12722	36738	42896	71645	42034.5	65815.5	64577.5	25497.5	13672	17602.5	15040.5	15846	16452	12215	21232.5	17586	15584.5	35020.5	43848.5	13226.5	29912	34353.5	25428.5	29636	57070.5	69502	65285	75169	64666.5	25730.5	70797.5	76964.5	15336	12153	10438	7818.5	9537	10644.5	15124	12225	20716	24479.5	26896.5	27243.5	13994.5	18241.5	22353	16137.5	5872	28065.5	28741	7546	33863	50346.5	37664	12246
A1A4V9	8596	8313	5316	11536.5	7530.5	6935.5	6439	4084.5	4964	6226	4261	4811.5	4891.5	6473.5	7785.5	10556.5	4897.5	6081	3967.5	5980.5	7801.5	8619	5213.5	6755	6078.5	4904	8365.5	6501.5	6087.5	6807	8045	4920.5	7382.5	4070.5	6983	6351	7385.5	5786.5	7256.5	10569	7301.5	8847.5	5707.5	6212	8083.5	6767.5	9032.5	6284	9551	6843	9503.5	9049.5	6871.5	7162	6719	3664	4559	3951	2557	3582.5	4668	9425	8120	11972.5	3241.5	5727	6564	2902	6263	7036	4479	5342	9897.5	7695	6412	5207.5	8646.5	7390.5	8211.5	5946	5420.5	4016.5	5618.5	5329.5	4492.5	4903.5	6541.5	16891.5	5064.5	8400	6280	8835	8021	7804	8979	7222.5
A3KMH1	6401	11295	7758	12152.5	10779	13738.5	6467.5	1721.5	2307.5	2178.5	760	1354	4440.5	13305.5	1220.5	3290.5	7077.5	4419.5	4010.5	4855.5	9464.5	3749	8353	3367	13610	7660	12472.5	9430	12980.5	11565.5	7681.5	7115.5	5313	1565.5	4930.5	1631	1530	11017	7903.5	11803.5	7458	5188	5970	3533	1656.5	4687.5	3632.5	11158.5	12869.5	10663	15114	11268	15900	10441	9235	5084	4092	5726	4695.5	7195.5	3295.5	1820	3041	8836	11025.5	4555.5	4680	10293.5	9173.5	5138.5	7352	6267.5	5577	4441	17504	14762	20167.5	18130	4460.5	5275.5	4225	6736.5	4830	4369.5	4254	3161	3809.5	6555	2518	5104	8012	3728	1254	8084.5	8187.5	3283.5
A4D1E1	68283.5	44420	51278.5	66019	50446.5	47946	34475	28401	62740	45121	54988	34047.5	65979	64938	42693.5	66724.5	68636.5	38553.5	37260.5	75833.5	73092	48287.5	65138.5	74137	56076	55612	42356	59811	43021	41753.5	38982	35940	35806.5	43581.5	49486.5	36162.5	52214.5	81406	42401	41705	26213.5	46059	58994.5	67804	51243	60203	61051	44997	27730.5	49624	44894.5	43977.5	46225.5	36542.5	43852	41060.5	49023	53896	54296.5	45027.5	47564.5	60794	44801	35470	51106	62248	64963	55603.5	53493	37993.5	54883	55815	37336	28923	40998	43703	52962.5	36049.5	30903.5	10273	30002.5	30961.5	51097.5	61701.5	42042	55089.5	33241	34439	26226	38921.5	43911.5	4236	38437	29696.5	38276.5	47231.5
A4D1E9	5311.5	6531	3186	7609	4581	12233.5	6101.5	3438.5	3086	4969	3824	4333.5	4442	9611.5	5524.5	5100	4969.5	2831.5	3356	5137	4253.5	6358	6073.5	4749.5	5524	3654	7407	5773.5	7556	14900	9750.5	2805	10643.5	2587	2450	12145	5705.5	7735.5	7914.5	10370.5	7735.5	3274	3028	8965	4602.5	8452.5	3579.5	3262.5	3007.5	1011.5	4809.5	3254	1746	3392.5	4009	2419	1472.5	2662.5	5876.5	8075	3845.5	3782.5	2315	1959	2692	2241.5	2143	5802	3732.5	1558	3347.5	3377	7151.5	3006	1808	1435	4156	5725.5	6344	3013.5	5675.5	2944.5	2322.5	2822.5	5380	3772.5	5189.5	2806	2664	3566.5	5016.5	5033	1610.5	3230.5	1992.5	6265.5
A5A3E0	41344.5	35100	36763.5	45445	24807	33856	24763	19785.5	33589.5	36763.5	26261.5	60832	34649.5	35895.5	34354	29755.5	42049.5	20071.5	28584.5	30613.5	38097.5	29559	27592.5	24801	33973	32978	33994.5	35071.5	33819	37580	26509.5	20876	28212.5	17983	27276	9157	33827.5	39293.5	24611.5	21342.5	26840	25383	33233.5	31360.5	32562	38844.5	31730.5	17332	27655.5	36362.5	32278.5	27097	34189.5	26810.5	28638.5	28320	21866	31853.5	39733.5	37477	22554	20614	25845	31809.5	42143	30580.5	21034	35515	31846.5	35697.5	64035.5	35724	27818	30385	30181.5	47336	37726.5	29521.5	24715.5	25838.5	17207.5	35908	26592.5	38690.5	21664	41249	23385	22403	21865.5	25797	25160	27532	21051	39194	34252.5	25591.5
A5D8V6	4780	6230	6578	5046.5	8382.5	6475	3464	4704.5	3947.5	4775	4490.5	4265.5	4375	3594.5	4847.5	4921.5	6002.5	4306	2733.5	3143	2821	2513	2987	2258	6888	2716	9217.5	5345.5	7065.5	9594	4234	4911	4120.5	3616.5	3067.5	6353.5	3589	4052.5	6825	3370.5	6864	6947	8380	2953.5	3854.5	4359.5	3042	4943	5278.5	4190.5	6056	6424.5	4372.5	6047.5	3474	3551	2836.5	4015.5	4486.5	3512	4192	2593.5	5158.5	5296	6776	5459	2687.5	4716	5378	5053	4374	2486	5231	3613	6887	5014.5	4780	6442	5076.5	5176	3164	2059.5	5381	4267.5	4273	4346.5	3456.5	6179	6590.5	3551	3723.5	5560	3329.5	3794	4906	4737
