Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
A0AVT1	1	1	2760	1	3657	1	2831	1	1	1	2651	5447	1	1	1	4934	4650	3423	4191	1	1	2836	1	1	1	1	1	2266	1	3015	1	1	1	1	5322	1	1467	1	1	1	2552	3063	1	1	2577	3400	2241	1	1	5634	2190	1703	3198	1	4087	3604	3321	1	1	3237	1	1	1	2756	2295	1	1	3035	1	1986	1	3392	5888	1	1	1
A0FGR8	357366	9037	1	338382	13204	130595	473616	454043	449952	1	569975	103022	119137	171479	6892	8089	1	13125	7935	1	1	219788	708932	1	515908	95558	384517	382117	425581	707055	188439	17828	1	1	107679	205524	7457	32766	326304	8349	219097	328967	320055	1	475628	476834	416530	1	1	13046	1	165084	1	7600	1	160968	76452	381913	1	193488	662826	1	484497	1	396595	365144	1	585691	185423	1	1	1	103113	12172	5679	1
A0MZ66	3515	1	1	4703	4511	1	1	1	1	1	1	1	1	10867	6063	4537	2715	21602	3849	1	1	11323	1	1	1	1	1	1	4449	1	16219	14279	1	11060	1	4752	1	9299	1	1	1	1	1	2637	4079	8744	1	1	1	1	1	11138	4158	5515	1	22117	4188	1	1	10707	1	1	1	5494	1	1	1	1	14891	11988	1	3767	1	1	1	9586
A2RRP1	1	1	10966	14931	1	6571	11732	1	1	107933	45449	1	1	1	1	1	1	1	1	1	48288	120683	1	118330	13197	4809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9881	13773	7052	1	12063	1	1	136488	43862	1	3627	2811	1	1	1	1	1	1	46669	111794	1	115058	12136	1	1	1	1	1	1	1	1	1	1	1	1	1
A3KMH1	24376	31221	28165	22122	33409	25321	26463	19224	25748	10544	26048	10523	6592	11224	25921	18055	11017	30842	17688	20958	27636	25773	16122	10264	18466	7892	17255	13063	18145	16990	60719	57742	39617	42977	26699	25572	84058	41627	22564	25894	28373	21433	27707	20408	9532	20286	27325	10749	24921	8685	6472	11185	27589	15951	10190	19792	16618	17280	23022	19742	14261	8872	18421	1	17765	12422	9653	4564	57551	49408	36726	35741	19346	25921	78983	3741
A4D1E9	1	1	1	1	1	1	1	1	1	364662	1	1	1	113849	1	1	1	1	1	1	200433	1	209948	300158	1	1	1	1	1	293149	1	1	1	1	1	1	1	178330	1	1	1	1	1	1	1	1	1	327746	1	219189	1	110941	178082	1	1	1	1	1	151780	1	1	267989	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6ND36	1	1	1	1	1	1	36252	1	1	223053	1	1	1	1	1	1	1	1	1	1	171174	1	1	205039	1	1	10326	1	1	1	1	1	1	1	1	76088	1	1	1	1	1	1	1	1	1	1	1	252463	1	1	1	1	1	1	1	1	1	1	144234	1	1	219366	1	1	1	1	1	1	1	1	1	1	1	1	1	1
A6ND91	37664	1	28617	36503	35366	42578	43844	46909	45184	1	42150	1	12514	1	1	1	37780	2811	1	2556	1	22368	48798	1	45297	21375	30182	33493	40113	43456	26724	12953	1	11927	1	3358	12974	12698	34667	1	28813	31239	34703	39333	41561	41960	42931	1	41773	1	10968	1	1	1	1	2552	10363	1	1	22009	44825	1	43732	19535	30518	30113	38147	46019	27380	11403	1	1	10002	9231	1	9964
A6NDG6	1	1	1	1	1	1	2430	1	1	1	1	1	1	1	1	1	1	6510	1	1	1	1	1	1	1	1	1	1	1	1	1	4492	3854	1	4413	1	3018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5588	1	1	1	1	1	1	1	1	1	1	1	1	5500	4817	2787	1	4056	1	2996	1
A6NHL2	120761	1	1	125184	1	1	1	90908	79821	1	88772	38799	1	1	1	1	1	1	1	46253	1	68138	184049	15718	129545	1	110689	154787	170329	142265	120738	59866	1	1	1	27598	1	34350	109355	1	1	118389	91607	33646	121593	108441	1	1	1	1	52294	236549	19481	1	1	64235	1	52821	1	1	169994	1	126599	21939	115232	1	1	128765	1	1	1	1	19925	1	1	32749
