Protein		Gene 	SWATH_DCIS_1_1.mzML	SWATH_DCIS_1_2.mzML	SWATH_DCIS_2_1.mzML	SWATH_DCIS_2_2.mzML	SWATH_DCIS_3_1.mzML	SWATH_DCIS_3_2.mzML	SWATH_DCIS_5_1.mzML	SWATH_DCIS_5_2.mzML	SWATH_DCIS_6_1.mzML	SWATH_DCIS_6_2.mzML	SWATH_DCIS_7_1.mzML	SWATH_DCIS_7_2.mzML	SWATH_DCIS_8_1.mzML	SWATH_DCIS_8_2.mzML	SWATH_DCIS_9_1.mzML	SWATH_DCIS_9_2.mzML	SWATH_DCIS_10_1.mzML	SWATH_DCIS_10_2.mzML	SWATH_DCIS_11_1.mzML	SWATH_DCIS_11_2.mzML	SWATH_DCIS_12_1.mzML	SWATH_DCIS_12_2.mzML	SWATH_DCIS_13_1.mzML	SWATH_DCIS_13_2.mzML	SWATH_DCIS_14_1.mzML	SWATH_DCIS_14_2.mzML	SWATH_DCIS_15_1.mzML	SWATH_DCIS_15_2.mzML	SWATH_DCIS_16_1.mzML	SWATH_DCIS_16_2.mzML	SWATH_DCIS_17_1.mzML	SWATH_DCIS_17_2.mzML	SWATH_DCIS_17_3.mzML	SWATH_DCIS_18_1.mzML	SWATH_DCIS_18_2.mzML	SWATH_DCIS_19_1.mzML	SWATH_DCIS_19_2.mzML	SWATH_DCIS_20_1.mzML	SWATH_DCIS_20_2.mzML	SWATH_ERPR_1_1.mzML	SWATH_ERPR_1_2.mzML	SWATH_ERPR_2_1.mzML	SWATH_ERPR_2_2.mzML	SWATH_ERPR_3_1.mzML	SWATH_ERPR_3_2.mzML	SWATH_ERPR_4_1.mzML	SWATH_ERPR_4_2.mzML	SWATH_ERPR_5_1.mzML	SWATH_ERPR_5_2.mzML	SWATH_ERPR_6_1.mzML	SWATH_ERPR_6_2.mzML	SWATH_ERPR_7_1.mzML	SWATH_ERPR_7_2.mzML	SWATH_ERPR_8_1.mzML	SWATH_ERPR_8_2.mzML	SWATH_ERPR_9_1.mzML	SWATH_ERPR_9_2.mzML	SWATH_ERPR_10_1.mzML	SWATH_ERPR_10_2.mzML	SWATH_ERPR_11_1.mzML	SWATH_ERPR_11_2.mzML	SWATH_ERPR_12_1.mzML	SWATH_ERPR_12_2.mzML	SWATH_ERPR_13_1.mzML	SWATH_ERPR_13_2.mzML	SWATH_ERPRHer_1_1.mzML	SWATH_ERPRHer_1_2.mzML	SWATH_ERPRHer_2_1.mzML	SWATH_ERPRHer_2_2.mzML	SWATH_ERPRHer_3_1.mzML	SWATH_ERPRHer_3_2.mzML	SWATH_ERPRHer_4_1.mzML	SWATH_ERPRHer_4_2.mzML	SWATH_ERPRHer_5_1.mzML	SWATH_ERPRHer_5_2.mzML	SWATH_ERPRHer_6_1.mzML	SWATH_ERPRHer_6_2.mzML	SWATH_ERPRHer_7_1.mzML	SWATH_ERPRHer_7_2.mzML	SWATH_ERPRHer_8_1.mzML	SWATH_ERPRHer_8_2.mzML	SWATH_ERPRHer_9_1.mzML	SWATH_ERPRHer_9_2.mzML	SWATH_ERPRHer_10_1.mzML	SWATH_ERPRHer_10_2.mzML	SWATH_ERPRHer_11_1.mzML	SWATH_ERPRHer_11_2.mzML	SWATH_ERPRHer_12_1.mzML	SWATH_ERPRHer_12_2.mzML	SWATH_Her_1_1.mzML	SWATH_Her_1_2.mzML	SWATH_Her_2_1.mzML	SWATH_Her_2_2.mzML	SWATH_Her_3_1.mzML	SWATH_Her_3_2.mzML	SWATH_Her_4_1.mzML	SWATH_Her_4_2.mzML	SWATH_Her_5_1.mzML	SWATH_Her_5_2.mzML	SWATH_Her_6_1.mzML	SWATH_Her_6_2.mzML	SWATH_Her_7_1.mzML	SWATH_Her_7_2.mzML	SWATH_Her_8_1.mzML	SWATH_Her_8_2.mzML	SWATH_Her_9_1.mzML	SWATH_Her_9_2.mzML	SWATH_Her_10_1.mzML	SWATH_Her_10_2.mzML	SWATH_Her_11_1.mzML	SWATH_Her_11_2.mzML	SWATH_Her_12_1.mzML	SWATH_Her_12_2.mzML	SWATH_Her_13_1.mzML	SWATH_Her_13_2.mzML	SWATH_TN_2_1.mzML	SWATH_TN_2_2.mzML	SWATH_TN_3_1.mzML	SWATH_TN_3_2.mzML	SWATH_TN_4_1.mzML	SWATH_TN_4_2.mzML	SWATH_TN_5_1.mzML	SWATH_TN_5_2.mzML	SWATH_TN_6_1.mzML	SWATH_TN_6_2.mzML	SWATH_TN_9_1.mzML	SWATH_TN_9_2.mzML	SWATH_TN_10_1.mzML	SWATH_TN_10_2.mzML	SWATH_TN_13_1.mzML	SWATH_TN_13_2.mzML	SWATH_TN_12_1.mzML	SWATH_TN_12_2.mzML	SWATH_DCIS_4_1.mzML	SWATH_DCIS_4_2.mzML	SWATH_ERPRHer_13_1.mzML	SWATH_ERPRHer_13_2.mzML	SWATH_TN_1_1.mzML	SWATH_TN_1_2.mzML	SWATH_TN_7_1.mzML	SWATH_TN_7_2.mzML	SWATH_TN_8_1.mzML	SWATH_TN_8_2.mzML	SWATH_TN_11_1.mzML	SWATH_TN_11_2.mzML
A2A274;Q99798		ACO2	67.569953918457	66.4977035522461	55.4665489196777	44.0103149414063	43.2071228027344	57.1730041503906	45.6201972961426	34.0585441589355	56.8996849060059	46.1940002441406	33.5470771789551	55.799747467041	49.9032363891602	62.6020812988281	48.9165878295898	56.1159629821777	32.40625	32.3211898803711	49.3520431518555	32.9990234375	47.4542388916016	52.7509765625	33.5033912658691	52.9765968322754	21.9067668914795	Filtered	37.0546646118164	32.1648788452148	44.5031127929688	85.5921325683594	57.5837898254395	62.5920219421387	57.8793869018555	48.6928863525391	42.7119750976563	48.0133590698242	42.0910377502441	27.5113716125488	47.2742233276367	70.443603515625	92.2438507080078	66.2256698608398	73.9424285888672	Filtered	6.93740272521973	71.2424011230469	38.1809425354004	86.1966705322266	41.0370292663574	47.4498558044434	41.9733047485352	37.3447532653809	32.4125709533691	52.1772537231445	33.1643409729004	29.9741668701172	26.8822116851807	117.928436279297	108.228080749512	48.030891418457	39.2119522094727	99.1191253662109	53.3658676147461	99.2253799438477	113.717407226563	85.6914138793945	37.5928916931152	69.9031829833984	38.5861129760742	70.4886779785156	36.2960815429688	81.9509201049805	44.6284370422363	58.7143135070801	32.159797668457	90.4137115478516	34.7679023742676	42.0464859008789	38.0635948181152	70.7230529785156	65.0717468261719	79.8202209472656	47.910457611084	Filtered	41.1046562194824	73.9806213378906	51.1142692565918	169.283050537109	45.0840911865234	73.0004272460938	45.3802185058594	88.0008163452148	59.5221862792969	59.6933135986328	41.2899017333984	36.1451530456543	39.5990905761719	95.1311340332031	71.3784637451172	47.6731643676758	35.5587158203125	60.6898193359375	31.5152416229248	46.2238693237305	32.9495277404785	43.3138160705566	58.0061149597168	65.3091430664063	49.9675979614258	57.4993782043457	58.7914123535156	63.2718544006348	54.9665908813477	38.389575958252	27.2599830627441	118.854461669922	59.9737167358398	60.584400177002	31.5148887634277	58.1267395019531	34.060173034668	33.2935600280762	35.0378913879395	88.8105239868164	85.5858535766602	46.4093589782715	81.4128341674805	44.6654052734375	38.2796363830566	37.4141883850098	39.1412658691406	89.827880859375	81.1033782958984	27.3688545227051	38.257453918457	49.3623352050781	47.6850547790527	17.0789051055908	15.0777950286865	63.7410697937012	58.6136665344238	54.2116317749023	66.7793273925781	52.8929176330566	170.150848388672
A2A3N8;E7ENY0;E7EV99;H0Y9H2;P35611;P35611-2;P35611-3		ADD1	6.8211841583252	12.600474357605	29.2578010559082	20.5406951904297	17.3360576629639	23.4608821868896	17.7866992950439	Filtered	15.9539175033569	14.8755798339844	12.0817565917969	14.5976076126099	15.0544757843018	14.4051990509033	26.4377822875977	22.3159523010254	13.2525100708008	15.2194452285767	Filtered	14.5494890213013	14.9788827896118	16.0879745483398	25.6022720336914	20.1694812774658	Filtered	10.7814493179321	19.0176544189453	12.7709159851074	15.785457611084	Filtered	88.5950775146484	77.702522277832	73.1012802124023	12.3143873214722	14.8677387237549	25.2509670257568	27.3239421844482	16.1189346313477	11.641918182373	19.9394435882568	22.786693572998	13.7647495269775	28.5968685150146	Filtered	7.76152515411377	Filtered	Filtered	Filtered	14.7048711776733	12.2107057571411	17.8335266113281	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	15.7518377304077	14.5661306381226	Filtered	10.0388164520264	Filtered	Filtered	27.3357238769531	15.8107433319092	Filtered	17.4695224761963	Filtered	Filtered	21.4529266357422	14.5413436889648	Filtered	Filtered	Filtered	16.0979633331299	Filtered	Filtered	Filtered	Filtered	Filtered	16.2531108856201	Filtered	16.8201236724854	Filtered	Filtered	15.2054166793823	11.2570171356201	17.3589992523193	15.7583026885986	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	23.4753665924072	23.170051574707	24.487663269043	11.9932651519775	9.22480964660645	Filtered	Filtered	Filtered	14.5265760421753	Filtered	Filtered	Filtered	17.4622344970703	Filtered	Filtered	Filtered	Filtered	Filtered	7.97316789627075	12.9847736358643	15.6018438339233	Filtered	16.6153678894043	Filtered	8.98426532745361	Filtered	11.8475227355957	13.5701904296875	Filtered	Filtered	Filtered	10.2069282531738	11.4561443328857	Filtered	21.3393039703369	Filtered	Filtered	11.5872116088867	14.3734436035156	19.7162399291992	14.0557899475098	Filtered	16.2113037109375	Filtered	Filtered	19.4042816162109	Filtered	Filtered	Filtered
A2AB90;C9JA35;D3YTI9;O15533;O15533-2;O15533-3		TAPBP	85.4769973754883	65.4429550170898	164.093368530273	145.645141601563	78.3911972045898	53.9793090820313	Filtered	75.2891998291016	96.3421478271484	103.895347595215	120.282958984375	117.93571472168	97.328727722168	Filtered	344.195404052734	351.094451904297	Filtered	51.1407890319824	Filtered	94.8665390014648	147.196929931641	116.563812255859	86.7262954711914	80.8321685791016	Filtered	Filtered	64.3498382568359	Filtered	81.4890899658203	Filtered	88.6560897827148	82.3865356445313	94.9575424194336	83.8686218261719	Filtered	354.846038818359	356.976440429688	Filtered	73.7511215209961	396.198974609375	359.938812255859	365.196685791016	304.513214111328	Filtered	Filtered	Filtered	Filtered	Filtered	146.883331298828	340.187561035156	321.413513183594	140.372528076172	154.127380371094	Filtered	90.8306198120117	156.723449707031	130.701065063477	486.205902099609	404.712463378906	142.601684570313	Filtered	Filtered	101.037948608398	836.9208984375	845.4453125	253.892822265625	237.916687011719	Filtered	Filtered	774.459777832031	833.186889648438	Filtered	94.5855255126953	Filtered	80.2063751220703	121.050491333008	137.283889770508	169.971786499023	166.064819335938	113.837448120117	115.640121459961	624.873229980469	503.684234619141	Filtered	Filtered	215.708374023438	201.863555908203	189.389892578125	182.883819580078	153.639892578125	120.029884338379	Filtered	Filtered	122.930374145508	125.058448791504	115.622772216797	Filtered	639.925170898438	420.594360351563	181.770599365234	142.881652832031	Filtered	58.6386260986328	298.085754394531	517.90966796875	118.054374694824	162.239929199219	336.029205322266	259.349853515625	207.068923950195	180.907852172852	729.135498046875	655.4990234375	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	176.687118530273	147.120910644531	124.132110595703	124.265151977539	1313.95434570313	1578.94421386719	Filtered	135.150207519531	143.489654541016	162.602508544922	63.689811706543	362.287078857422	133.536895751953	131.575637817383	Filtered	Filtered	81.1801910400391	89.9876937866211	Filtered	Filtered	Filtered	91.5913238525391	185.75505065918	217.389938354492	Filtered	Filtered
A2ACR0;A2ACR1;B0V0T2;B0V0T3;P28065;P28065-2		PSMB9	7.92897510528564	Filtered	Filtered	24.5481624603271	13.2913475036621	Filtered	Filtered	6.35142421722412	Filtered	7.1709771156311	Filtered	Filtered	Filtered	Filtered	19.3312549591064	Filtered	Filtered	Filtered	Filtered	Filtered	20.5739078521729	33.7689628601074	20.7239818572998	Filtered	Filtered	Filtered	10.3502130508423	Filtered	5.93655347824097	Filtered	7.68905353546143	8.09190559387207	9.23727512359619	Filtered	Filtered	Filtered	17.6020889282227	Filtered	7.34036731719971	57.0901222229004	Filtered	35.6192092895508	14.5850868225098	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	16.2951602935791	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	38.9362335205078	37.6652069091797	32.2912826538086	Filtered	Filtered	Filtered	98.7022247314453	28.5699615478516	Filtered	12.3177070617676	Filtered	Filtered	Filtered	8.59263038635254	Filtered	Filtered	Filtered	Filtered	Filtered	13.1576948165894	15.1597566604614	6.20605945587158	Filtered	7.45491361618042	Filtered	22.6309852600098	Filtered	Filtered	Filtered	Filtered	Filtered	6.4065260887146	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	25.1486053466797	Filtered	9.30822944641113	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	6.45159721374512	Filtered	8.67876625061035	Filtered	17.3596286773682	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	55.5606079101563	Filtered	6.54726457595825	27.7920436859131	Filtered	Filtered	Filtered	64.9795379638672	20.7087383270264	55.871711730957	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	23.9596729278564	39.9778633117676	Filtered	Filtered
A2AEA2;A2AEA4;F5GXA6;P10321		HLA-C	17.7073020935059	12.50732421875	24.9098052978516	27.4237861633301	24.8976650238037	30.5215759277344	9.97257518768311	6.86783599853516	11.2485866546631	25.545825958252	26.1583003997803	Filtered	14.2298393249512	550.360656738281	935.372680664063	1548.4765625	Filtered	Filtered	8.47574520111084	13.5949783325195	36.9543304443359	39.2981605529785	22.855224609375	27.69287109375	Filtered	Filtered	12.6106948852539	Filtered	19.3170833587646	Filtered	20.4906845092773	19.6837272644043	19.7651691436768	471.478637695313	936.876586914063	706.780700683594	699.047912597656	Filtered	10.4115314483643	587.794067382813	74.1296768188477	411.870178222656	419.769256591797	Filtered	Filtered	Filtered	Filtered	36.0209312438965	22.2879867553711	31.3007183074951	28.2922420501709	Filtered	15.81005859375	Filtered	Filtered	9.4816722869873	20.8745212554932	1029.41833496094	954.815246582031	561.435607910156	24.0870265960693	11.9909105300903	21.1452445983887	1172.03662109375	1111.96264648438	Filtered	32.2724494934082	Filtered	Filtered	1852.66821289063	1382.11315917969	Filtered	Filtered	Filtered	14.2558355331421	Filtered	Filtered	Filtered	Filtered	Filtered	25.3975410461426	57.5508346557617	19.2504615783691	Filtered	14.4811096191406	1399.27038574219	932.132690429688	57.1181640625	28.9728889465332	Filtered	39.4764404296875	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1514.60437011719	1545.33825683594	Filtered	21.2628860473633	Filtered	Filtered	892.215637207031	529.130004882813	Filtered	Filtered	Filtered	51.6374168395996	Filtered	21.0852565765381	34.9412040710449	33.7067337036133	Filtered	Filtered	Filtered	Filtered	Filtered	16.2432231903076	12.5079689025879	18.8493003845215	Filtered	39.8350257873535	680.6865234375	1166.03967285156	Filtered	278.536102294922	27.4500885009766	1177.92517089844	Filtered	39.4667053222656	518.263977050781	496.64794921875	2444.42626953125	2165.27587890625	997.69189453125	10.2042894363403	61.9600677490234	Filtered	Filtered	725.670593261719	847.001159667969	26.7963809967041	Filtered	Filtered
A6NFQ9;A6NMH6;F6W7K9;F8W8I8;Q92599;Q92599-2		SEPT8	53.282958984375	68.4794540405273	72.0187454223633	44.2046508789063	49.4080581665039	48.9199371337891	45.002628326416	29.04931640625	35.9103775024414	25.9844169616699	8.19237232208252	53.6271286010742	27.4915370941162	39.3468551635742	12.3732089996338	24.3742656707764	21.888708114624	37.8858680725098	Filtered	42.4152488708496	53.298713684082	43.4163131713867	49.7729873657227	45.973316192627	26.6246490478516	Filtered	27.3352603912354	28.9130344390869	17.8638916015625	Filtered	55.9446830749512	68.6432342529297	85.2483749389648	Filtered	30.6768703460693	34.6041374206543	16.0064182281494	47.6963577270508	59.5344886779785	127.126152038574	125.15079498291	222.658721923828	217.232604980469	Filtered	40.1171417236328	36.012882232666	21.4766502380371	Filtered	25.937557220459	17.9887886047363	25.3754577636719	28.6942596435547	22.5213413238525	30.7234153747559	31.0725574493408	22.4004516601563	28.9416980743408	146.386566162109	160.302734375	29.4470329284668	71.0339584350586	Filtered	Filtered	101.772674560547	100.352294921875	Filtered	28.3048477172852	Filtered	Filtered	32.4336700439453	27.4813652038574	79.2758102416992	71.1700439453125	Filtered	77.1780853271484	21.9054908752441	33.6053314208984	Filtered	34.8346672058105	20.0526275634766	Filtered	25.9539432525635	20.8349323272705	Filtered	15.3884344100952	Filtered	29.4617080688477	14.1660823822021	20.7504577636719	Filtered	61.1282768249512	30.8072643280029	Filtered	Filtered	18.8987808227539	Filtered	23.0300025939941	11.0956115722656	Filtered	31.940258026123	18.7693424224854	Filtered	21.6715431213379	28.3460903167725	18.5441341400146	Filtered	27.425910949707	Filtered	21.5688037872314	Filtered	21.386173248291	25.9506225585938	27.6985778808594	37.910285949707	20.3907566070557	Filtered	Filtered	Filtered	Filtered	22.8430156707764	Filtered	29.4550647735596	26.7145328521729	84.3750152587891	72.6797561645508	46.4927864074707	168.082397460938	35.6230049133301	24.0549983978271	41.2090148925781	72.1560668945313	85.9708099365234	113.344833374023	Filtered	51.9282188415527	93.8764953613281	118.186431884766	39.9832382202148	Filtered	22.1307830810547	90.8937683105469	80.941047668457	112.183609008789	45.8383636474609	Filtered
A6NG51;Q13813;Q13813-2;Q13813-3		SPTAN1	35.5871467590332	44.3841857910156	68.6586151123047	57.2772636413574	46.4835929870605	50.487606048584	74.3162841796875	53.8840866088867	120.163925170898	78.762451171875	75.3316116333008	57.0131797790527	49.0501327514648	60.1669311523438	53.1807670593262	99.427490234375	40.6329803466797	66.3925247192383	20.83544921875	62.613395690918	52.0614395141602	53.3385848999023	36.0575675964355	68.148323059082	22.061315536499	13.4370374679565	51.6206932067871	53.2730941772461	75.3926773071289	144.655166625977	72.6968231201172	70.2301177978516	70.1933746337891	46.3508224487305	38.2920913696289	52.3300666809082	65.4079208374023	44.5818519592285	41.2466430664063	43.4245986938477	45.3116340637207	40.060863494873	39.8370208740234	51.8716354370117	23.4803581237793	34.654354095459	27.8066654205322	25.5006580352783	18.1524963378906	23.2541103363037	20.4801425933838	37.5721130371094	29.8152561187744	25.7628707885742	45.6223106384277	20.9285507202148	22.5849437713623	37.066722869873	31.1049652099609	33.4750633239746	20.8753929138184	Filtered	29.9962348937988	52.9718284606934	74.097053527832	Filtered	24.1286773681641	34.3179817199707	25.6674308776855	21.3231258392334	21.4637393951416	37.1142845153809	19.0017566680908	15.9190473556519	19.2653388977051	20.7439308166504	19.0506229400635	24.5356616973877	19.7100486755371	25.4172515869141	21.7686977386475	34.195686340332	21.1567630767822	37.79052734375	24.3616943359375	24.7364063262939	18.5380096435547	18.7753925323486	18.7093544006348	16.6369400024414	15.068531036377	46.2558670043945	30.6250057220459	21.4768753051758	21.8491382598877	Filtered	23.4872856140137	27.8678283691406	28.2260971069336	31.3595085144043	21.4930744171143	30.6882705688477	13.5345420837402	33.8502197265625	35.8535995483398	30.9339027404785	20.3321800231934	32.6448516845703	25.2142658233643	23.564603805542	26.5811405181885	34.7317886352539	36.1652679443359	25.0248126983643	22.666748046875	Filtered	19.9389457702637	35.3031921386719	17.6474666595459	29.7178573608398	33.2389106750488	Filtered	17.6602077484131	51.3121299743652	64.2632827758789	35.7568702697754	84.8994598388672	Filtered	20.7584609985352	32.3537445068359	74.0663757324219	54.8171844482422	54.6153297424316	46.1185836791992	37.197582244873	43.3145751953125	56.4164848327637	35.0373306274414	Filtered	48.0307350158691	54.3668212890625	39.2794036865234	49.4956092834473	29.8260536193848	47.3679389953613
A6NHU4;P17516;P42330;Q04828		AKR1C1;AKR1C4;AKR1C3;AKR1C1	16.8535194396973	Filtered	50.6980667114258	37.9249572753906	Filtered	11.3976402282715	22.4758396148682	Filtered	66.4939880371094	34.8468780517578	14.3142623901367	22.6839962005615	15.9522657394409	23.320463180542	40.4872817993164	45.5237121582031	20.9080410003662	23.3477649688721	16.3971576690674	Filtered	27.3274574279785	32.0136489868164	6.70151424407959	Filtered	15.9255714416504	Filtered	Filtered	Filtered	27.2041130065918	Filtered	26.2559223175049	27.0686988830566	23.2459049224854	15.9350776672363	17.3929500579834	Filtered	30.9737873077393	24.5380172729492	Filtered	Filtered	41.5504455566406	Filtered	Filtered	Filtered	Filtered	Filtered	21.9666481018066	Filtered	22.230188369751	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	11.9470710754395	Filtered	Filtered	25.7192707061768	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	16.4524803161621	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	310.834045410156	190.844909667969	197.76594543457	137.207763671875	70.5206680297852	46.9695205688477	Filtered	Filtered	Filtered	Filtered	Filtered	30.4223880767822	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	21.626350402832	83.9205093383789	Filtered	Filtered	Filtered	Filtered	63.1667137145996	47.6139183044434	Filtered	32.7188568115234	31.2971153259277	28.5937061309814	Filtered	Filtered	Filtered	Filtered	74.382209777832	86.7607650756836	Filtered	Filtered
A6NJG9;H0YNE3;Q06323		PSME1	33.5348587036133	44.3224906921387	54.5021553039551	50.2254104614258	27.0720138549805	33.3086013793945	40.5125961303711	31.1768226623535	40.284839630127	20.4142875671387	36.3048553466797	24.1429862976074	32.9190826416016	37.5874519348145	28.0297470092773	35.3700561523438	22.0812873840332	20.5394248962402	Filtered	13.7128143310547	47.5139198303223	66.0916061401367	21.4932327270508	29.216682434082	Filtered	Filtered	20.0181007385254	20.9633140563965	18.25852394104	23.2226333618164	75.6841812133789	72.9827728271484	62.1955261230469	26.2527961730957	37.2187767028809	22.9313106536865	21.9921417236328	16.6141262054443	29.8094959259033	168.440277099609	199.186614990234	139.194137573242	153.136138916016	Filtered	Filtered	Filtered	20.9921436309814	Filtered	13.9287519454956	30.0893135070801	21.1523761749268	Filtered	3.94921541213989	Filtered	19.255090713501	15.107138633728	19.9488964080811	228.942413330078	256.524291992188	129.668930053711	Filtered	Filtered	68.922233581543	250.374282836914	276.623626708984	25.6523246765137	22.3854179382324	Filtered	Filtered	20.2583103179932	24.3985958099365	Filtered	Filtered	Filtered	Filtered	26.359317779541	23.1675453186035	24.5087718963623	15.3782987594604	22.8256359100342	Filtered	60.3246421813965	22.072244644165	Filtered	Filtered	Filtered	12.7737369537354	14.8251857757568	13.7725667953491	Filtered	Filtered	Filtered	Filtered	Filtered	18.6375865936279	Filtered	Filtered	22.8088321685791	22.2932777404785	16.1660804748535	19.065990447998	Filtered	Filtered	34.9951400756836	19.7539005279541	23.9483299255371	20.8268642425537	20.4823265075684	13.4667520523071	23.9755821228027	14.9866800308228	43.0281410217285	54.0706405639648	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	18.3683547973633	16.2031345367432	24.3269786834717	23.1800861358643	155.857849121094	170.37370300293	74.0001525878906	107.64323425293	Filtered	19.1739120483398	Filtered	130.797485351563	73.0626754760742	76.6164321899414	Filtered	Filtered	44.7035331726074	40.1430587768555	Filtered	Filtered	62.7883796691895	45.592155456543	98.3010711669922	94.9787902832031	24.6959781646729	Filtered
A6NL76		ACTA1	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	49.2639770507813	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	34.915843963623	45.8073883056641	Filtered	64.2545166015625	62.6353988647461	89.2990798950195	Filtered	60.0014953613281	35.9286155700684	Filtered	107.923698425293	110.890182495117	Filtered	Filtered	29.187032699585	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	49.2024192810059	Filtered	Filtered	Filtered	54.3799324035645	Filtered	51.0915946960449	Filtered	Filtered	Filtered	46.276683807373	29.6138553619385	Filtered	39.9454345703125	50.6064071655273	42.3074951171875	40.9458618164063	Filtered	26.746696472168	83.1098327636719	58.3419036865234	62.8189315795898	71.4228210449219	Filtered	51.3506393432617	37.7452049255371	Filtered	60.480297088623	54.2926254272461	Filtered	Filtered	44.4023132324219	32.3075294494629	40.3826484680176	35.9744415283203	64.2527236938477	68.5563201904297	64.2623672485352	76.3094635009766	102.300285339355	73.8181457519531	82.6368789672852	83.1909255981445	69.3390426635742	80.545280456543	84.7377471923828	131.485580444336	142.461776733398	146.268035888672	Filtered	38.8878440856934	Filtered	52.8854827880859	44.4330520629883	71.9270401000977	50.7327079772949	70.3659973144531	Filtered	Filtered	Filtered	Filtered	64.6344833374023	53.3181686401367	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
